site_uid,basin_name,basin_type,dist_to_0,dist_to_1,dist_to_2,dist_to_3,area0,area1,area2,area3,selection_mode,reviewed,river_da_km2,river_name,flag_area,flag_river,flag_not_contained,flag_basin1_over_basin0,flag_area_mismatch_v2,flag_area_mismatch_v3
WQS0008,WQS0008_basin1.parquet,1,,0.0,0.0,0.0,,19.016442073922395,19.016442073922395,2547.294040186709,manual,True,2537.2548,Cedar River,False,False,False,False,False,True
WQS0009,WQS0009_basin1.parquet,1,,0.0,0.0,0.1779529127558467,,121.36594441875717,121.36594441875717,118.21714780722505,auto,False,2115.6084,Turkey River,False,False,False,False,False,False
WQS0010,WQS0010_basin1.parquet,1,,0.0178619909897125,0.0178619909897125,0.1247646918176386,,11165.66320529172,11165.66320529172,11204.719177988554,manual,True,11239.8417,Skunk River,False,True,True,False,False,False
WQS0011,WQS0011_basin1.parquet,1,,0.0,0.0,0.0,,26.570597998038483,26.570597998038483,29.515951628992713,manual,True,64.4202,Clear Creek,False,False,False,False,False,True
WQS0012,WQS0012_basin1.parquet,1,,0.1218246594668485,0.0,0.0,,10.18732169935347,19.016442073922395,2547.294040186709,manual,True,18.945,Slough Creek,False,False,False,False,True,True
WQS0013,WQS0013_basin1.parquet,1,,0.0,0.0,0.0417535635271788,,44.786502799410776,44.786502799410776,764.2153433985096,manual,True,759.6711,Little Cedar River,False,False,False,False,False,True
WQS0014,WQS0014_basin1.parquet,1,,0.0,0.0,0.0,,21.933879610727605,21.933879610727605,17.100578215422107,manual,True,681.4242,Little Cedar River,False,False,False,False,False,True
WQS0021,WQS0021_basin1.parquet,1,,0.0,0.0,0.0,,15.669470807341694,15.669470807341694,12.676841834564032,manual,True,47.7315,Rapid Creek,False,False,False,False,False,True
WQS0022,WQS0022_basin1.parquet,1,,0.0,0.0,0.0,,7.883674070630927,7.883674070630927,40.42648725859684,manual,True,40.5243,Rapid Creek,False,False,False,False,False,True
WQS0023,WQS0023_basin1.parquet,1,,0.0,0.0,0.504935304758905,,6091.029206408693,9.366884573907534,5950.347569281186,manual,True,6101.4681,Wapsipinicon River,False,False,False,False,True,False
WQS0024,WQS0024_basin1.parquet,1,,0.0,0.0,0.2432655183974972,,582.8925401049739,582.8925401049739,393.1743748882254,manual,True,783.9594,South Fork Iowa River,False,False,False,False,False,True
WQS0025,WQS0025_basin1.parquet,1,,0.0,0.0,0.6359177558857668,,107.1409146765428,107.1409146765428,30.635200966491087,manual,True,210880.8558,Mississippi River,False,True,False,False,False,True
WQS0027,WQS0027_basin1.parquet,1,,0.0,0.0,2.9526523313877915,,106.0190787184861,106.0190787184861,119.95440309846346,manual,True,15217.8876,Cedar River,False,True,False,False,False,True
WQS0032,WQS0032_basin1.parquet,1,,0.0,0.0,5.552861147016639,,1117.1350947259791,1117.1350947259791,1014.4877165552252,manual,True,1131.6078,Middle Raccoon River,False,False,False,False,False,True
WQS0033,WQS0033_basin1.parquet,1,,0.0,0.0,3.370588032548339,,36311.10402522962,36311.10402522962,46.11445041431563,manual,True,36321.8724,Des Moines River,False,True,False,False,False,True
WQS0035,WQS0035_basin1.parquet,1,,0.0,0.0,1.8337969453916172,,133.72135167361623,133.72135167361623,1.5880898199739288,manual,True,13799.5137,Cedar River,False,True,False,False,False,True
WQS0037,WQS0037_basin1.parquet,1,,0.0,0.0,0.0792576188743232,,578.0264639077634,573.2877540685297,4.345991070940883,manual,True,597.8772,East Nishnabotna River,False,False,False,False,False,True
WQS0038,WQS0038_basin1.parquet,1,,0.0,0.0,0.035458196221397,,504.3349615237652,504.3349615237652,534.071176142092,manual,True,548.1081,Ioway Creek,False,False,False,False,False,True
WQS0039,WQS0039_basin1.parquet,1,,0.0,0.0,0.0,,1077.7854388159128,1077.7854388159128,1115.9721180925303,auto,False,1129.6566,Boone River,False,False,False,False,False,False
WQS0040,WQS0040_basin1.parquet,1,,0.0,0.0,4.412984102750061,,2259.4361037413028,2259.4361037413028,299.0093084905651,manual,True,2271.9744,Boyer River,False,False,False,False,False,True
WQS0043,WQS0043_basin1.parquet,1,,0.0,0.0,0.4842547047462263,,2297.954355516145,2297.954355516145,2297.7478608445417,auto,False,2309.4927,Floyd River,False,False,False,False,False,False
WQS0044,WQS0044_basin1.parquet,1,,0.0,0.0,0.0,,2869.0685435587043,2869.0685435587043,2865.7053113560614,auto,False,4267.1142,West Nishnabotna River,False,False,False,False,False,False
WQS0046,WQS0046_basin1.parquet,1,,0.0,0.0,0.0682715284059761,,54.68097813475632,54.68097813475632,57.89062156203233,manual,True,66.1509,Walnut Creek,False,False,False,False,False,True
WQS0047,WQS0047_basin1.parquet,1,,0.0,0.0,0.0,,19.155531342651088,19.155531342651088,19.288037552818416,auto,False,27.2214,Walnut Creek,False,False,False,False,False,False
WQS0048,WQS0048_basin1.parquet,1,,0.0,0.0,0.0,,197.7596007941089,197.7596007941089,185.6564933551767,manual,True,198.1467,Tipton Creek,False,False,False,False,False,True
WQS0050,WQS0050_basin1.parquet,1,,0.0882562348747122,0.0,0.1929014963729546,,240.7818238420585,246.83525715651965,251.8336528570292,manual,True,289.0674,West Fork Crooked Creek,False,False,False,False,False,True
WQS0051,WQS0051_basin1.parquet,1,,0.0,0.0,0.0,,184.11393532619695,184.11393532619695,171.42887086415152,manual,True,591.8679,South Fork Iowa River,False,False,False,False,False,True
WQS0053,WQS0053_basin1.parquet,1,,0.0,0.0,1.2826460328185578,,20.2340684191219,20.2340684191219,2.718924468396049,manual,True,36.1008,Walnut Creek,False,False,False,False,False,True
WQS0054,WQS0054_basin1.parquet,1,,0.0,0.0,0.6628517504445081,,16.88411199842259,16.88411199842259,4.156262508157746,manual,True,16.6518,Walnut Creek,False,False,False,False,False,True
WQS0055,WQS0055_basin1.parquet,1,,0.0,0.0,0.0716979411621531,,18.550875572124873,18.550875572124873,126.7021396912988,manual,True,131.9616,Tipton Creek,False,False,False,False,False,True
WQS0056,WQS0056_basin1.parquet,1,,0.0,0.0,1.2491546821569373,,131.9809185660594,131.9809185660594,13.971815701098542,manual,True,155.205,Tipton Creek,False,False,False,False,False,True
WQS0058,WQS0058_basin1.parquet,1,,0.0,0.0,1.4080236984922845,,1.4176427436850367,1.4176427436850367,4.014646268779263,manual,True,599.1498,North Skunk River,False,False,False,False,False,True
WQS0061,WQS0061_basin1.parquet,1,,0.6730377965641156,0.0,0.1431602438718414,,1057.0214754227886,15.640090696762206,1050.380842881436,manual,True,1081.3419,Soldier River,False,False,False,False,True,False
WQS0063,WQS0063_basin1.parquet,1,,0.0,0.0,0.0,,574.396127380063,566.203601149407,6.9094474097443515,manual,True,582.6024,Yellow River,False,False,False,False,False,True
