site_uid,basin_name,basin_type,dist_to_1,dist_to_2,dist_to_3,area1,area2,area3,selection_mode,reviewed,flag_area,flag_river,flag_not_contained,flag_basin1_over_basin2
WQS0006,WQS0006_basin1.parquet,1,0.0,,3.168057475988917,11098.773794397152,,64.00243033385806,manual,True,False,False,False,False
WQS0111,WQS0111_basin1.parquet,1,0.0,0.0696962124019063,0.1586804463918053,89.57994632768418,87.26748619399439,85.51054632760565,manual,True,False,False,False,True
WQS0072,WQS0072_basin1.parquet,1,0.0,,1.588634757214462,774.0259358764408,,5.309651561169696,manual,True,False,False,False,False
WQS0033,WQS0033_basin1.parquet,1,0.0,,3.370588032548339,36311.10402522962,,46.11445041431563,manual,True,False,False,False,False
USGS-05418720,USGS-05418720_basin2.parquet,2,0.0,0.0,0.1536131679008159,4835.088728393596,4835.088728393596,4798.219749964521,manual,True,False,False,False,False
WQS0080,WQS0080_basin1.parquet,1,0.0,,0.0868939617152757,223.35008693758869,,226.30513797487595,manual,True,False,False,False,False
WQS0084,WQS0084_basin1.parquet,1,0.0,,1.6240399913985637,4336.914670280983,,6.797618111604691,manual,True,False,False,False,False
USGS-05482500,USGS-05482500_basin2.parquet,2,0.0,0.0,0.0,4178.8264560070575,4178.8264560070575,4146.973363856947,manual,True,False,False,False,False
USGS-05455100,USGS-05455100_basin2.parquet,2,0.0,0.0,0.232420875363037,523.3522090888915,523.3522090888915,519.0797837051773,manual,True,False,False,False,False
USGS-05484500,USGS-05484500_basin2.parquet,2,0.0,0.0,0.7957403193939765,8874.033828174563,8874.033828174563,8787.416822731002,manual,True,False,False,False,False
WQS0007,WQS0007_basin2.parquet,2,0.0,0.0,0.0,20156.059419925405,20067.847138753114,19875.953508317984,manual,True,False,False,False,True
WQS0025,WQS0025_basin1.parquet,1,0.0,1.1206680624254497,0.6359177558857668,107.1409146765428,30.04006665043193,30.635200966491087,manual,True,False,False,False,True
USGS-06603750,USGS-06603750_basin2.parquet,2,0.0,0.0,0.0,43.50505706333113,43.50505706333113,39.954596015245414,manual,True,False,False,False,False
WQS0027,WQS0027_basin2.parquet,2,0.0,0.0,2.9526523313877915,106.0190787184861,105.87188019765388,119.95440309846346,manual,True,False,False,False,True
WQS0102,WQS0102_basin2.parquet,2,0.0,0.0,0.0,30.357685417762347,32.16563491431938,33.666320532703196,manual,True,False,False,False,True
WQS0031,WQS0031_basin3.parquet,3,0.0,,0.0,0.0342562958154234,,2287.8086042942637,manual,True,False,False,False,False
WQS0023,WQS0023_basin2.parquet,2,0.0,0.0,0.504935304758905,9.366884573907534,5919.870443403211,5950.347569281186,manual,True,False,False,False,True
WQS0022,WQS0022_basin1.parquet,1,0.0,,0.0,7.883674070630927,,40.42648725859684,manual,True,False,False,False,False
WQS0012,WQS0012_basin1.parquet,1,0.0,,0.0,19.016442073922395,,2547.294040186709,manual,True,False,False,False,False
WQS0037,WQS0037_basin1.parquet,1,0.0,,0.0792576188743232,573.2877540685297,,4.345991070940883,manual,True,False,False,False,False
WQS0002,WQS0002_basin1.parquet,1,0.0,0.0373860145568578,0.0,257.3554072404799,254.3324202803819,260.46846593403785,manual,True,False,False,False,True
WQS0008,WQS0008_basin1.parquet,1,0.0,,0.0,19.016442073922395,,2547.294040186709,manual,True,False,False,False,False
USGS-05481000,USGS-05481000_basin2.parquet,2,0.0,0.0,0.1724903665148849,2187.277185591921,2187.277185591921,2129.956380378014,manual,True,False,False,False,False
USGS-05482000,USGS-05482000_basin2.parquet,2,0.0,0.0,4.945753990548365,16217.891266531513,16217.891266531513,15521.59912008412,manual,True,False,False,False,False
USGS-05482300,USGS-05482300_basin2.parquet,2,0.0,0.0,0.0381598231290646,1809.054014403379,1809.054014403379,1907.1207179130909,manual,True,False,False,False,False
USGS-05484000,USGS-05484000_basin2.parquet,2,0.0160309557274428,0.0160309557274428,0.0,11.493594296859325,11.493594296859325,2670.004722760782,manual,True,False,False,False,False
WQS0069,WQS0069_basin1.parquet,1,0.0,8.884047102120505,0.0,3320.272969672908,16813.71792183523,3311.952755109296,manual,True,False,False,False,True
USGS-05418400,USGS-05418400_basin2.parquet,2,0.0,0.0,0.0,1303.0906980969312,1303.0906980969312,388.4603229504488,manual,True,False,False,False,False
USGS-05420500,USGS-05420500_basin2.parquet,2,0.0,0.0,0.1272508598640744,220064.8148994495,220064.8148994495,46847.37656089862,manual,True,True,True,False,False
USGS-05483600,USGS-05483600_basin2.parquet,2,0.0,0.0,5.5543057638980455,1117.1350947259791,1117.1350947259791,1014.4877165552252,manual,True,False,False,False,False
USGS-06604440,USGS-06604440_basin2.parquet,2,0.0,0.0,0.0,1387.8475680726742,1387.8475680726742,1052.5228483856818,manual,True,False,False,False,False
USGS-06817000,USGS-06817000_basin2.parquet,2,0.0,0.0,0.1648310063569087,1984.1303772583829,1984.1303772583829,1983.2721426438395,manual,True,False,False,False,False
WQS0039,WQS0039_basin1.parquet,1,0.0,0.0,0.0,1077.7854388159128,1081.514504068492,1115.9721180925303,manual,True,False,False,False,True
WQS0046,WQS0046_basin1.parquet,1,0.0,,0.0682715284059761,54.68097813475632,,57.89062156203233,manual,True,False,False,False,False
WQS0047,WQS0047_basin2.parquet,2,0.0,0.0,0.0,19.155531342651088,17.76833438876115,19.288037552818416,manual,True,False,False,False,True
WQS0056,WQS0056_basin1.parquet,1,0.0,,1.2491546821569373,131.9809185660594,,13.971815701098542,manual,True,False,False,False,False
WQS0070,WQS0070_basin1.parquet,1,0.0,1.6669837548422497,2.4385117959995366,794.4754061433929,769.1172221765728,57.33737010862309,manual,True,False,False,False,True
WQS0071,WQS0071_basin1.parquet,1,0.003554147790316,1.4533987673443596,6.2923711309428425,108.3207335526418,15588.597343024474,15395.4162139349,manual,True,False,False,True,True
WQS0073,WQS0073_basin1.parquet,1,0.0563902956278903,0.8402441529558258,0.0,28.82661197900029,23.67018872008709,28.61502846306543,manual,True,False,False,False,True
WQS0074,WQS0074_basin1.parquet,1,0.0,,0.1867485568707386,141.2299359587694,,155.01120932783067,manual,True,False,False,False,False
USGS-05474500,USGS-05474500_basin2.parquet,2,0.0,0.0,0.0,307042.4184370129,307042.4184370129,4.748121442510858,manual,True,True,True,False,False
USGS-05480603,USGS-05480603_basin2.parquet,2,0.0,0.0,0.2004977036427364,88.62908770778651,88.62908770778651,107.98349488902272,manual,True,False,False,False,False
USGS-05451210,USGS-05451210_basin2.parquet,2,0.0,0.0,0.218441744769121,582.8925401049739,582.8925401049739,393.1743748882254,manual,True,False,False,False,False
USGS-05464500,USGS-05464500_basin2.parquet,2,0.0,0.0,0.0,16860.52947945805,16860.52947945805,3.517083651542545,manual,True,False,False,False,False
USGS-415959091441301,USGS-415959091441301_basin2.parquet,2,0.0,0.0,0.0612081169841655,16784.508443226274,16784.508443226274,16640.82346331262,manual,True,False,False,False,False
USGS-05480986,USGS-05480986_basin2.parquet,2,0.0,0.0,4.054198547369457,29.728980458570582,29.728980458570582,1671.1181629678676,manual,True,False,False,False,False
