recipe,task,metric,lofo,loso,gap,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,early_stopping_rounds,random_state
recipe_CLF,clf,auc,0.819347,0.83939,0.020043,5000,0.01,3,10,0.7,0.7,5.0,0.0,50,42
recipe_REG,reg,r2,0.343122,0.397351,0.054229,5000,0.01,3,10,0.7,0.7,5.0,0.0,50,42
