uid_a,uid_b,name_a,name_b,comid,sep_m,on_channel,channels_a,channels_b,shared_days,r,median_diff,area_a_km2,area_b_km2,agree_a,agree_b,proposed,seam,evidence
USGS:0110057380,USGS:01100574,"HARTWELL BROOK AT BEDFORD, MA","ELM BROOK AT BEDFORD, MA",6747180,781.47,discharge,discharge,discharge,391.0,0.9342,-0.1611,0.9064958,15.22912944,True,True,distinct,,shared_comid+records+source_area
USGS:401330074001201,USGS:401352074002701,Sunset Lake east of Heck St at Asbury Park NJ,Deal Lake 150 ft east of Main St at Interlaken NJ,6261966,789.42,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,0.0,,,,,True,True,sequential,2023-04-04..2023-09-12,shared_comid+records+source_area
USGS:401330074001201,USGS:401350073595201,Sunset Lake east of Heck St at Asbury Park NJ,Deal Lake at Flume House at Asbury Park NJ,6261966,792.99,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,36.0,0.5229,-4895.6302,,,True,True,distinct,,shared_comid+records+source_area
USGS:0535739503,USGS:460930090035900,"LITTLE TURTLE RIVER AT GARNET STREET AT MERCER, WI","MERCER LAKE AT MERCER, WI",13346262,796.56,,discharge,gage_height,,,,26.96177508,33.669844,False,True,distinct,,shared_comid+records+source_area
USGS:391035084344300,USGS:391059084345500,East Branch Shepherd Creek near Mt Airy OH,W Branch Shepherd Creek at RM 0.40 near Mt Airy OH,3405159,799.8,discharge,discharge,discharge,485.0,0.967,0.0,0.36259832000000003,0.28489868,True,True,distinct,,shared_comid+records+source_area
USGS:01362365,USGS:01362368,OX CLOVE AT CHICHESTER NY,OX CLOVE NEAR MOUTH AT CHICHESTER NY,6189644,801.21,turbidity_fnu,turbidity_fnu,discharge+gage_height+turbidity_fnu,3118.0,0.8201,-3.7354,8.05486268,9.91965404,True,True,weak_evidence,,shared_comid+records+source_area
USGS:01362322,USGS:01362330,MYRTLE BROOK AT STATE HWY 214 AT EDGEWOOD NY,STONY CLOVE CREEK NEAR LANESVILLE NY,6189746,805.7,turbidity_fnu,discharge+gage_height+turbidity_fnu,turbidity_fnu,2205.0,0.8727,-0.2252,4.68787828,19.42491,True,True,weak_evidence,,shared_comid+records+source_area
USGS:01583570,USGS:01583580,"POND BRANCH AT OREGON RIDGE, MD","BAISMAN RUN AT BROADMOOR, MD",11688418,812.76,discharge,discharge,discharge,6795.0,0.0577,-0.0317,0.31079856,3.80728236,True,True,distinct,,shared_comid+records+source_area
IWQIS:WQS0101,IWQIS:WQS0112,Mud Creek at Benton County (101MCBC1),Mud Creek Wetland Outlet at Keystone (112 MCWO),22476413,817.53,nitrate,nitrate,nitrate,398.0,0.5708,5.105,5.179976,5.179976,True,True,distinct,,shared_comid+records+source_area
USGS:391035084344300,USGS:391101084344900,East Branch Shepherd Creek near Mt Airy OH,"Unnamed Drainage at Westonridge Rd, Mt Airy OH",3405159,824.06,discharge,discharge,discharge,1003.0,0.5252,0.0006,0.36259832000000003,,True,True,distinct,,shared_comid+records+source_area
