config,stage,searched,arm,seed,lofo_prauc,lofo_auc,lofo_prauc_lift,lofo_between_rate_r2,lofo_brier,best_k,fit_cost,ceiling,k_frac,ceiling_bound,ceiling_note,at_ceiling,n_feat,secs,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,random_state,n_estimators,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"lr=0.05, depth=3, lam=0.002(4)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7488936319372137,0.8892166239885049,3.2212622300331772,0.5181472925745877,0.1037713284495344,380,1064.0,1500,0.253,False,,0.742,145,168.8,0.05,3,4.395976,0.7,0.5,4.395975561478181,0.0,42,380,3.0,0.05,0.002,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7544350115479649,0.890879942741303,3.2450977069035227,0.5344047514520371,0.1027942291220459,220,616.0,1500,0.147,False,,0.7472,145,230.0,0.05,3,4.395976,0.7,0.5,659.396334,0.0,42,220,,,,,,
"lr=0.05, depth=3, lam=0.002(4)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7488936319372137,0.8892166239885049,3.2212622300331772,0.5181472925745877,0.1037713284495344,380,1064.0,1500,0.253,False,,0.742,145,168.8,0.05,3,4.395976,0.7,0.5,4.395975561478181,0.0,42,380,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(44)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7492668198318316,0.8886458872697582,3.2228674460723745,0.5124583339539983,0.1039691960079508,360,1008.0,1500,0.24,False,,0.7404,145,171.1,0.05,3,4.395976,0.7,0.5,43.95975561478182,0.0,42,360,3.0,0.05,0.02,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7544350115479649,0.890879942741303,3.2450977069035227,0.5344047514520371,0.1027942291220459,220,616.0,1500,0.147,False,,0.7472,145,230.0,0.05,3,4.395976,0.7,0.5,659.396334,0.0,42,220,,,,,,
"lr=0.05, depth=3, lam=0.002(4)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7488936319372137,0.8892166239885049,3.2212622300331772,0.5181472925745877,0.1037713284495344,380,1064.0,1500,0.253,False,,0.742,145,168.8,0.05,3,4.395976,0.7,0.5,4.395975561478181,0.0,42,380,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(44)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7492668198318316,0.8886458872697582,3.2228674460723745,0.5124583339539983,0.1039691960079508,360,1008.0,1500,0.24,False,,0.7404,145,171.1,0.05,3,4.395976,0.7,0.5,43.95975561478182,0.0,42,360,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(220)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7450802019964982,0.8877168587578391,3.20485928933367,0.4823751341217893,0.1042124453465419,300,840.0,1500,0.2,False,,0.7409,145,168.0,0.05,3,4.395976,0.7,0.5,219.7987780739091,0.0,42,300,3.0,0.05,0.1,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7544350115479649,0.890879942741303,3.2450977069035227,0.5344047514520371,0.1027942291220459,220,616.0,1500,0.147,False,,0.7472,145,230.0,0.05,3,4.395976,0.7,0.5,659.396334,0.0,42,220,,,,,,
"lr=0.05, depth=3, lam=0.002(4)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7488936319372137,0.8892166239885049,3.2212622300331772,0.5181472925745877,0.1037713284495344,380,1064.0,1500,0.253,False,,0.742,145,168.8,0.05,3,4.395976,0.7,0.5,4.395975561478181,0.0,42,380,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(44)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7492668198318316,0.8886458872697582,3.2228674460723745,0.5124583339539983,0.1039691960079508,360,1008.0,1500,0.24,False,,0.7404,145,171.1,0.05,3,4.395976,0.7,0.5,43.95975561478182,0.0,42,360,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(220)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7450802019964982,0.8877168587578391,3.20485928933367,0.4823751341217893,0.1042124453465419,300,840.0,1500,0.2,False,,0.7409,145,168.0,0.05,3,4.395976,0.7,0.5,219.7987780739091,0.0,42,300,3.0,0.05,0.1,,,
"lr=0.05, depth=3, lam=0.3(659)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7454227703559164,0.8882976109113606,3.206332799683256,0.4815659165101149,0.1044047705654394,450,1260.0,1500,0.3,False,,0.7425,145,103.8,0.05,3,4.395976,0.7,0.5,659.3963342217272,0.0,42,450,3.0,0.05,0.3,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7544350115479649,0.890879942741303,3.2450977069035227,0.5344047514520371,0.1027942291220459,220,616.0,1500,0.147,False,,0.7472,145,230.0,0.05,3,4.395976,0.7,0.5,659.396334,0.0,42,220,,,,,,
"lr=0.05, depth=3, lam=0.002(4)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7488936319372137,0.8892166239885049,3.2212622300331772,0.5181472925745877,0.1037713284495344,380,1064.0,1500,0.253,False,,0.742,145,168.8,0.05,3,4.395976,0.7,0.5,4.395975561478181,0.0,42,380,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(44)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7492668198318316,0.8886458872697582,3.2228674460723745,0.5124583339539983,0.1039691960079508,360,1008.0,1500,0.24,False,,0.7404,145,171.1,0.05,3,4.395976,0.7,0.5,43.95975561478182,0.0,42,360,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(220)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7450802019964982,0.8877168587578391,3.20485928933367,0.4823751341217893,0.1042124453465419,300,840.0,1500,0.2,False,,0.7409,145,168.0,0.05,3,4.395976,0.7,0.5,219.7987780739091,0.0,42,300,3.0,0.05,0.1,,,
"lr=0.05, depth=3, lam=0.3(659)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7454227703559164,0.8882976109113606,3.206332799683256,0.4815659165101149,0.1044047705654394,450,1260.0,1500,0.3,False,,0.7425,145,103.8,0.05,3,4.395976,0.7,0.5,659.3963342217272,0.0,42,450,3.0,0.05,0.3,,,
"lr=0.05, depth=4, lam=0.002(2)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7539553289565456,0.8907503160622046,3.2430344186764,0.5362912483095208,0.1029898235830146,230,1288.0,1500,0.153,False,,0.7448,145,155.4,0.05,4,4.395976,0.7,0.5,2.19798778073909,0.0,42,230,4.0,0.05,0.002,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7544350115479649,0.890879942741303,3.2450977069035227,0.5344047514520371,0.1027942291220459,220,616.0,1500,0.147,False,,0.7472,145,230.0,0.05,3,4.395976,0.7,0.5,659.396334,0.0,42,220,,,,,,
"lr=0.05, depth=3, lam=0.002(4)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7488936319372137,0.8892166239885049,3.2212622300331772,0.5181472925745877,0.1037713284495344,380,1064.0,1500,0.253,False,,0.742,145,168.8,0.05,3,4.395976,0.7,0.5,4.395975561478181,0.0,42,380,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(44)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7492668198318316,0.8886458872697582,3.2228674460723745,0.5124583339539983,0.1039691960079508,360,1008.0,1500,0.24,False,,0.7404,145,171.1,0.05,3,4.395976,0.7,0.5,43.95975561478182,0.0,42,360,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(220)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7450802019964982,0.8877168587578391,3.20485928933367,0.4823751341217893,0.1042124453465419,300,840.0,1500,0.2,False,,0.7409,145,168.0,0.05,3,4.395976,0.7,0.5,219.7987780739091,0.0,42,300,3.0,0.05,0.1,,,
"lr=0.05, depth=3, lam=0.3(659)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7454227703559164,0.8882976109113606,3.206332799683256,0.4815659165101149,0.1044047705654394,450,1260.0,1500,0.3,False,,0.7425,145,103.8,0.05,3,4.395976,0.7,0.5,659.3963342217272,0.0,42,450,3.0,0.05,0.3,,,
"lr=0.05, depth=4, lam=0.002(2)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7539553289565456,0.8907503160622046,3.2430344186764,0.5362912483095208,0.1029898235830146,230,1288.0,1500,0.153,False,,0.7448,145,155.4,0.05,4,4.395976,0.7,0.5,2.19798778073909,0.0,42,230,4.0,0.05,0.002,,,
"lr=0.05, depth=4, lam=0.02(22)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.748280337477897,0.8874266846077208,3.2186242288626037,0.5073075037659103,0.1039398429928378,200,1120.0,1500,0.133,False,,0.7445,145,162.8,0.05,4,4.395976,0.7,0.5,21.97987780739091,0.0,42,200,4.0,0.05,0.02,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.7544350115479649,0.890879942741303,3.2450977069035227,0.5344047514520371,0.1027942291220459,220,616.0,1500,0.147,False,,0.7472,145,230.0,0.05,3,4.395976,0.7,0.5,659.396334,0.0,42,220,,,,,,
