Row,site_uid,decision,decided_by,note,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
27,USGS:05344490,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","ST. CROIX RIVER AT PRESCOTT, WI",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,53.02,USGS
28,USGS:05357230,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","NORTH CREEK AT TROUT LAKE NEAR BOULDER JUNCTION,WI",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,68.12,USGS
29,USGS:05429510,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","YAHARA RIVER @ EXCHANGE ST BRIDGE AT MC FARLAND,WI",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,2.41,USGS
30,USGS:06361000,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","MOREAU RIVER AT PROMISE, SD",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,1.02,USGS
31,USGS:06439500,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","CHEYENNE RIVER NEAR EAGLE BUTTE, SD",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,80.6,USGS
32,USGS:06469350,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","PIPESTEM CREEK ON US RT 52 WEST OF CARRINGTON, ND",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,36.4,USGS
33,USGS:07049698,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","White River near Busch, AR",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,36.97,USGS
34,USGS:07194555,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Arkansas River at Gore, OK",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,82.88,USGS
35,USGS:07227700,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Canadian Rv nr Fritch, TX",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,409.91,USGS
36,USGS:072632966,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Lake Maumelle at State Hwy 10 near Wye, AR",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,46.7,USGS
37,USGS:07331383,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Pennington Creek at Capitol Ave at Tishomingo, OK",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,41.53,USGS
38,USGS:07346080,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Big Cypress Ck abv SH 43 nr Karnack, TX",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,13.77,USGS
39,USGS:07346450,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Black Bayou at Rodessa, LA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,56.96,USGS
40,USGS:07351000,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Boggy Byu nr Keithville, LA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,12.86,USGS
41,USGS:07364775,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Byu De Loutre nr Sterlington, LA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,11.22,USGS
42,USGS:07369365,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Bushley Bayou nr Harrisonburg, LA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,9.47,USGS
43,USGS:07380330,,,,"KEPT as estuary (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Bayou Perot at Point Legard near Cutoff, LA",estuary,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,212.93,USGS
44,USGS:292859090004000,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Barataria Waterway S of Lafitte, LA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,27.74,USGS
45,USGS:294736091164200,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?",American Pass at Little Bayou Sorrel,stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,65.16,USGS
46,USGS:301655091440800,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Pontoon Bridge Canal near Butte Larose, LA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,0.84,USGS
47,USGS:462107111312301,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?",Missouri River ab Canyon Ferry nr Townsend,stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,27.27,USGS
48,USGS:01073785,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,31.38,USGS
49,USGS:01100671,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","MERRIMACK RIVER DS STANLEY ISLAND. HAVERHILL, MA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,13.8,USGS
50,USGS:01100693,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","MERRIMACK R 0.3 MILES U.S.RT 125 AT HAVERHILL,MA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,79.53,USGS
51,USGS:01102500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","ABERJONA RIVER AT WINCHESTER, MA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,25.73,USGS
52,USGS:01103010,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","MYSTIC RIVER AT ARLINGTON, MA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,1.07,USGS
53,USGS:01103038,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","MALDEN RIVER AT MALDEN, MA",stream,usgs_site_type,nhd_tidal,conflict_tidal,far,2168.29,USGS
54,USGS:01103040,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","MYSTIC RIVER RT 16 AT MEDFORD, MA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,28.39,USGS
55,USGS:0110587880,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","MILL CREEK AT SANDWICH, MA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,16.09,USGS
56,USGS:01109220,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","PALMER RIVER AT SOUTH REHOBOTH, MA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,46.64,USGS
57,USGS:01114000,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","MOSHASSUCK RIVER AT PROVIDENCE, RI",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,44.73,USGS
58,USGS:01118700,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","WHITFORD BK AT OLD MYSTIC,CT.",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,38.3,USGS
59,USGS:011277916,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","Stony Brook at Rt 1 near Flanders, CT",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,3.24,USGS
60,USGS:01302050,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",ALLEY CREEK NEAR OAKLAND GARDENS NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,154.94,USGS
61,USGS:01302125,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",GABBLERS CREEK AT LITTLE NECK NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,far,761.6,USGS
62,USGS:01303000,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",MILL NECK CREEK AT MILL NECK NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,74.7,USGS
63,USGS:01303500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",COLD SPRING BROOK AT COLD SPRING HARBOR NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,5.77,USGS
64,USGS:01304000,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",NISSEQUOGUE RIVER NEAR SMITHTOWN NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,32.6,USGS
65,USGS:01304010,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","NISSEQUOGUE RIVER AT LANDING AVE AT SMITHTOWN, NY",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,20.55,USGS
66,USGS:01304500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",PECONIC RIVER AT RIVERHEAD NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,25.89,USGS
67,USGS:0130469525,,,,"KEPT as lake (usgs site type), but this reach is marked tidal. Tidally influenced?","Hook Pond (QW Site 10) at East Hampton, NY",lake,usgs_site_type,nhd_tidal,conflict_tidal,far,660.97,USGS
68,USGS:01305500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",SWAN RIVER AT EAST PATCHOGUE NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,0.72,USGS
69,USGS:01306495,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",CONNETQUOT RIVER DISTRIBUTARY NEAR OAKDALE NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,20.96,USGS
