config,searched,lofo_prauc_adj,delta_vs_default,cols,seed,lofo_prauc,loso_auc,lofo_auc,lofo_prauc_lift,lofo_between_rate_r2,best_k,fit_cost,ceiling,k_frac,ceiling_bound,ceiling_note,at_ceiling,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,random_state,early_stopping_rounds,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"lr=0.05, depth=4, lam=0.002(2)","depth,lam",0.5954,-0.0079,full,42,0.6285360108580477,,0.8464255002420421,2.7035605934522065,0.2160519968797457,270,2116.8,1500,0.18,False,,0.6232,270,0.05,4,3.721096,0.7,0.7,2.19798778073909,42,,4.0,0.05,0.002,,,
"lr=0.05, depth=5, lam=0.1(55)","depth,lam",0.5949,-0.0079,full,42,0.6285126970984467,,0.8486692503641595,2.7034603125444248,0.2934482981951075,150,2352.0,1500,0.1,False,,0.6235,150,0.05,5,3.721096,0.7,0.7,54.94969451847727,42,,5.0,0.05,0.1,,,
"depth=4, lr=0.05, lam=0.3(330), mcw=0.3(330)",mcw,0.5942,-0.0088,full,42,0.627167621448924,,0.8417279989139675,2.6976746559417153,0.2284756592311668,260,2038.4,1500,0.173,False,,0.6092,260,0.05,4,329.6981671108636,0.7,0.7,329.6981671108636,42,,4.0,0.05,0.3,0.3,,
"depth=4, lr=0.08","depth,lr",0.5989,-0.0096,full,42,0.6268230337708784,,0.8451758832561171,2.6961924597727456,0.3230016465456397,80,627.2,1500,0.053,False,,0.6114,80,0.08,4,3.721096,0.7,0.7,186.054786,42,,4.0,0.08,,,,
"lr=0.05, depth=3, lam=0.3(659)","depth,lam",0.5934,-0.0103,full,42,0.6261662563151688,,0.8412566080219974,2.6933674225159296,0.2277625205116482,500,1960.0,1500,0.333,False,,0.6166,500,0.05,3,3.721096,0.7,0.7,659.3963342217272,42,,3.0,0.05,0.3,,,
"lr=0.05, depth=3, lam=0.02(44)","depth,lam",0.5907,-0.0135,full,42,0.622926434264333,,0.8432984863382348,2.67943177670547,0.2435980437143813,440,1724.8,1500,0.293,False,,0.6149,440,0.05,3,3.721096,0.7,0.7,43.95975561478182,42,,3.0,0.05,0.02,,,
"depth=3, lr=0.01","depth,lr",0.5858,-0.0141,full,42,0.6223657703585168,,0.8400560808823221,2.6770201585710267,0.2555491266229004,1190,4664.8,1500,0.793,False,,0.6206,1190,0.01,3,3.721096,0.7,0.7,186.054786,42,,3.0,0.01,,,,
"depth=3, lr=0.02","depth,lr",0.5877,-0.0147,full,42,0.6217126872851362,,0.8398577529048507,2.6742110121880978,0.2406500301555811,660,2587.2,1500,0.44,False,,0.6166,660,0.02,3,3.721096,0.7,0.7,186.054786,42,,3.0,0.02,,,,
"lr=0.05, depth=3, lam=0.1(220)","depth,lam",0.5894,-0.0149,full,42,0.6215030141819651,,0.841899856177231,2.6733091323762053,0.2329682252557992,420,1646.4,1500,0.28,False,,0.6111,420,0.05,3,3.721096,0.7,0.7,219.7987780739091,42,,3.0,0.05,0.1,,,
"depth=3, lr=0.05","depth,lr",0.5903,-0.0155,full,42,0.6209079603230415,,0.8392048272015025,2.6707495906217544,0.2437330872392478,300,1176.0,1500,0.2,False,,0.6103,300,0.05,3,3.721096,0.7,0.7,186.054786,42,,3.0,0.05,,,,
"lr=0.05, depth=3, lam=0.002(4)","depth,lam",0.5843,-0.019,full,42,0.6174068292456447,,0.8422943491689063,2.6556899602269275,0.1922577368716264,540,2116.8,1500,0.36,False,,0.6125,540,0.05,3,3.721096,0.7,0.7,4.395975561478181,42,,3.0,0.05,0.002,,,
