config,searched,delta_vs_default,cols,seed,lofo_r2,lofo_between_r2,lofo_within_r2,loso_r2,lofo_rmse,best_k,k_frac,at_ceiling,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,random_state,early_stopping_rounds,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"lr=0.01, depth=6, lam=0.1(154)","depth,lam",-0.015,full,42,0.4244721181364246,0.4446661621734924,0.3984033821128806,,4.121451578187548,390,0.2,0.4234,390,0.01,6,10.0,0.7,0.7,153.976375,42,,6.0,0.01,0.1,,,
"depth=5, lr=0.05","depth,lr",-0.0094,full,42,0.4225687301912972,0.4330875540688751,0.3963167458468178,,4.128261192610873,90,0.06,0.4129,90,0.05,5,10.0,0.7,0.7,384.940937,42,,5.0,0.05,,,,
"depth=5, lr=0.05","depth,lr",-0.0094,full,42,0.4225687301912972,0.4330875540688751,0.3963167458468178,,4.128261192610873,90,0.03,0.4086,90,0.05,5,10.0,0.7,0.7,384.940937,42,,5.0,0.05,,,,
"lr=0.01, depth=5, lam=0.3(924)","depth,lam",-0.0173,full,42,0.4222526826321355,0.4431095374164044,0.397847012229232,,4.129390806177309,460,0.236,0.421,460,0.01,5,10.0,0.7,0.7,923.85825,42,,5.0,0.01,0.3,,,
"lr=0.01, depth=5, lam=0.1(308)","depth,lam",-0.0186,full,42,0.4208789489623428,0.4246411586818358,0.3971539811647351,,4.134297202949239,480,0.246,0.4162,480,0.01,5,10.0,0.7,0.7,307.95275,42,,5.0,0.01,0.1,,,
"depth=5, lr=0.02","depth,lr",-0.0113,full,42,0.4206484848334457,0.4389727296833248,0.3950488126645297,,4.135119753283947,220,0.073,0.4162,220,0.02,5,10.0,0.7,0.7,384.940937,42,,5.0,0.02,,,,
"depth=5, lr=0.02","depth,lr",-0.0113,full,42,0.4206484848334457,0.4389727296833248,0.3950488126645297,,4.135119753283947,220,0.147,0.4168,220,0.02,5,10.0,0.7,0.7,384.940937,42,,5.0,0.02,,,,
"depth=5, lr=0.01","depth,lr",-0.0132,full,42,0.4188163422425224,0.4121366922396599,0.3983217628100572,,4.1416530483393394,550,0.183,0.4158,550,0.01,5,10.0,0.7,0.7,384.940937,42,,5.0,0.01,,,,
"depth=5, lr=0.01","depth,lr",-0.0132,full,42,0.4188163422425224,0.4121366922396599,0.3983217628100572,,4.1416530483393394,550,0.367,0.4128,550,0.01,5,10.0,0.7,0.7,384.940937,42,,5.0,0.01,,,,
"lr=0.01, depth=4, lam=0.3(1848)","depth,lam",-0.0269,full,42,0.4126172502162454,0.4130888818287588,0.3950308137175882,,4.163682563161734,620,0.318,0.4084,620,0.01,4,10.0,0.7,0.7,1847.7165,42,,4.0,0.01,0.3,,,
"depth=4, lr=0.02","depth,lr",-0.0214,full,42,0.4105813632601292,0.4163201828488931,0.3869522321417986,,4.1708920483931005,220,0.147,0.4008,220,0.02,4,10.0,0.7,0.7,384.940937,42,,4.0,0.02,,,,
"depth=4, lr=0.02","depth,lr",-0.0214,full,42,0.4105813632601292,0.4163201828488931,0.3869522321417986,,4.1708920483931005,220,0.073,0.4029,220,0.02,4,10.0,0.7,0.7,384.940937,42,,4.0,0.02,,,,
"depth=4, lr=0.01","depth,lr",-0.0224,full,42,0.4095810971333921,0.4146440277077882,0.3886663917670765,,4.17442963039561,420,0.14,0.4044,420,0.01,4,10.0,0.7,0.7,384.940937,42,,4.0,0.01,,,,
"depth=4, lr=0.01","depth,lr",-0.0224,full,42,0.4095810971333921,0.4146440277077882,0.3886663917670765,,4.17442963039561,420,0.28,0.4014,420,0.01,4,10.0,0.7,0.7,384.940937,42,,4.0,0.01,,,,
"depth=4, lr=0.05","depth,lr",-0.0225,full,42,0.409463589639509,0.4267614008423602,0.3848173528941283,,4.174845015436354,90,0.03,0.4012,90,0.05,4,10.0,0.7,0.7,384.940937,42,,4.0,0.05,,,,
"depth=4, lr=0.05","depth,lr",-0.0225,full,42,0.409463589639509,0.4267614008423602,0.3848173528941283,,4.174845015436354,90,0.06,0.4026,90,0.05,4,10.0,0.7,0.7,384.940937,42,,4.0,0.05,,,,
"lr=0.01, depth=4, lam=0.1(616)","depth,lam",-0.0302,full,42,0.4093294951797159,0.4240458716634762,0.3867507883976104,,4.175318984357444,420,0.215,0.4015,420,0.01,4,10.0,0.7,0.7,615.9055,42,,4.0,0.01,0.1,,,
"lr=0.01, depth=5, lam=0.02(62)","depth,lam",-0.0311,full,42,0.4083669910575176,0.4004422761957964,0.3884296890722389,,4.178719463879869,370,0.19,0.4035,370,0.01,5,10.0,0.7,0.7,61.59054999999999,42,,5.0,0.01,0.02,,,
"lr=0.01, depth=6, lam=0.02(31)","depth,lam",-0.0334,full,42,0.4061138810964911,0.3256411304358086,0.398328963787524,,4.1866687901202155,1950,1.0,0.4061,1950,0.01,6,10.0,0.7,0.7,30.795274999999997,42,,6.0,0.01,0.02,,,
"lr=0.01, depth=4, lam=0.02(123)","depth,lam",-0.036,full,42,0.4035534001167956,0.3947993138902583,0.3838543992891038,,4.195684286420721,410,0.21,0.392,410,0.01,4,10.0,0.7,0.7,123.1811,42,,4.0,0.01,0.02,,,
"lr=0.01, depth=5, lam=0.002(6)","depth,lam",-0.0418,full,42,0.3977452692735471,0.3808013047264693,0.3797562230693562,,4.21606334849246,360,0.185,0.3908,360,0.01,5,10.0,0.7,0.7,6.1590549999999995,42,,5.0,0.01,0.002,,,
"depth=3, lr=0.01","depth,lr",-0.0349,full,42,0.3970899887973104,0.3842510325218321,0.3807978005319159,,4.218356359057302,600,0.2,0.3765,600,0.01,3,10.0,0.7,0.7,384.940937,42,,3.0,0.01,,,,
"depth=3, lr=0.01","depth,lr",-0.0349,full,42,0.3970899887973104,0.3842510325218321,0.3807978005319159,,4.218356359057302,600,0.4,0.3779,600,0.01,3,10.0,0.7,0.7,384.940937,42,,3.0,0.01,,,,
"depth=3, lr=0.05","depth,lr",-0.0352,full,42,0.3968042154515274,0.3962452865144142,0.380940991500311,,4.219355970088685,110,0.037,0.3842,110,0.05,3,10.0,0.7,0.7,384.940937,42,,3.0,0.05,,,,
"depth=3, lr=0.05","depth,lr",-0.0352,full,42,0.3968042154515274,0.3962452865144142,0.380940991500311,,4.219355970088685,110,0.073,0.3844,110,0.05,3,10.0,0.7,0.7,384.940937,42,,3.0,0.05,,,,
"lr=0.01, depth=3, lam=0.02(246)","depth,lam",-0.0431,full,42,0.3964376759023285,0.3915919995689968,0.3776629125221917,,4.220637747912188,480,0.246,0.3751,480,0.01,3,10.0,0.7,0.7,246.36219999999997,42,,3.0,0.01,0.02,,,
"lr=0.01, depth=3, lam=0.1(1232)","depth,lam",-0.0436,full,42,0.3959531225844781,0.3937221299592855,0.3814830200984214,,4.222331619149199,600,0.308,0.3839,600,0.01,3,10.0,0.7,0.7,1231.811,42,,3.0,0.01,0.1,,,
"depth=3, lr=0.02","depth,lr",-0.0362,full,42,0.3958006119464649,0.3981069455731235,0.3765643623500966,,4.222864615736016,230,0.077,0.3815,230,0.02,3,10.0,0.7,0.7,384.940937,42,,3.0,0.02,,,,
"depth=3, lr=0.02","depth,lr",-0.0362,full,42,0.3958006119464649,0.3981069455731235,0.3765643623500966,,4.222864615736016,230,0.153,0.379,230,0.02,3,10.0,0.7,0.7,384.940937,42,,3.0,0.02,,,,
"lr=0.01, depth=4, lam=0.002(12)","depth,lam",-0.0443,full,42,0.3952552540954145,0.3805171928624844,0.3765349602817858,,4.224769990831715,380,0.195,0.3835,380,0.01,4,10.0,0.7,0.7,12.31811,42,,4.0,0.01,0.002,,,
"lr=0.01, depth=3, lam=0.002(25)","depth,lam",-0.0464,full,42,0.3931224617335338,0.3856230449989414,0.375649530894858,,4.232213318515041,490,0.251,0.3787,490,0.01,3,10.0,0.7,0.7,24.63622,42,,3.0,0.01,0.002,,,
"lr=0.01, depth=3, lam=0.3(3695)","depth,lam",-0.047,full,42,0.3925629950003285,0.4007282954777128,0.3776902427628602,,4.234163660190511,630,0.323,0.3865,630,0.01,3,10.0,0.7,0.7,3695.432999999999,42,,3.0,0.01,0.3,,,
"lr=0.01, depth=6, lam=0.002(3)","depth,lam",-0.0508,full,42,0.388734802843332,0.261439705653363,0.3895730184132067,,4.247484987118506,1880,0.964,0.3882,1880,0.01,6,10.0,0.7,0.7,3.0795275,42,,6.0,0.01,0.002,,,
