config,searched,delta_vs_default,cols,seed,lofo_r2,lofo_between_r2,lofo_within_r2,loso_r2,lofo_rmse,best_k,k_frac,at_ceiling,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,random_state,early_stopping_rounds,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"depth=6, lr=0.05, lam=0.1(186), mcw=0.1(186)",mcw,-0.0085,full,42,0.4210528490550143,0.4907652165913598,0.4043903299780403,,4.06583698728673,900,0.3,0.4172,900,0.05,6,186.05478645833333,0.7,0.7,186.05478645833333,42,,6.0,0.05,0.1,0.1,,
"depth=6, lr=0.05, lam=0.1(239), subsample=0.9",subsample,-0.0086,full,42,0.420882056045564,0.520305536031811,0.3879014845965219,,4.066436666659116,80,0.027,0.4151,80,0.05,6,10.0,0.9,0.7,239.21329687500003,42,,6.0,0.05,0.1,,0.9,
"depth=5, lr=0.05","depth,lr",-0.0079,full,42,0.4199256830154694,0.5152876137330151,0.3875385775719323,,4.069793000291798,90,0.03,0.408,90,0.05,5,10.0,0.7,0.7,384.940937,42,,5.0,0.05,,,,
"depth=5, lr=0.05","depth,lr",-0.0053,full,42,0.4199256830154694,0.5152876137330151,0.3875385775719323,,4.069793000291798,90,0.06,0.4099,90,0.05,5,10.0,0.7,0.7,384.940937,42,,5.0,0.05,,,,
"depth=5, lr=0.01","depth,lr",-0.0089,full,42,0.4188610620167547,0.5029933090799684,0.3912170657237095,,4.073525971027714,420,0.14,0.4116,420,0.01,5,10.0,0.7,0.7,384.940937,42,,5.0,0.01,,,,
"depth=5, lr=0.01","depth,lr",-0.0064,full,42,0.4188610620167547,0.5029933090799684,0.3912170657237095,,4.073525971027714,420,0.28,0.4077,420,0.01,5,10.0,0.7,0.7,384.940937,42,,5.0,0.01,,,,
"depth=5, lr=0.02","depth,lr",-0.0098,full,42,0.4154626077599729,0.5040988678773013,0.386909984264207,,4.085419436199531,180,0.12,0.41,180,0.02,5,10.0,0.7,0.7,384.940937,42,,5.0,0.02,,,,
"depth=5, lr=0.02","depth,lr",-0.0123,full,42,0.4154626077599729,0.5040988678773013,0.386909984264207,,4.085419436199531,180,0.06,0.4119,180,0.02,5,10.0,0.7,0.7,384.940937,42,,5.0,0.02,,,,
"lr=0.05, depth=5, lam=0.1(372)","depth,lam",-0.0128,full,42,0.4150336843849107,0.5000491479391134,0.3880607559498786,,4.08691806620729,100,0.033,0.4109,100,0.05,5,10.0,0.7,0.7,372.10957291666665,42,,5.0,0.05,0.1,,,
"lr=0.05, depth=5, lam=0.02(74)","depth,lam",-0.0172,full,42,0.4106410571839022,0.4949325704051753,0.3853156280053432,,4.102234103285995,80,0.027,0.3816,80,0.05,5,10.0,0.7,0.7,74.42191458333333,42,,5.0,0.05,0.02,,,
