year,cdl_class,crop,pixel_count,total_valid,fraction,pct
2000,1,Corn,52606,129264,0.4069655898007179,40.69655898007179
2000,5,Soybeans,42463,129264,0.3284982671122664,32.84982671122664
2000,25,Other Small Grains,1853,129264,0.014335004332219334,1.4335004332219334
2000,44,Other Crops,3,129264,2.3208317861121425e-05,0.0023208317861121426
2000,61,Fallow/Idle Cropland,4818,129264,0.03727255848496101,3.7272558484961014
2000,63,Forest,2862,129264,0.02214073523950984,2.214073523950984
2000,82,Developed,953,129264,0.0073725089738829064,0.7372508973882906
2000,83,Water,257,129264,0.0019881792301027356,0.19881792301027357
2000,176,Grass/Pasture,23449,129264,0.18140394850847877,18.140394850847876
2001,1,Corn,55822,145118,0.38466627158588185,38.46662715858818
2001,5,Soybeans,47398,145118,0.32661695999117957,32.66169599911796
2001,25,Other Small Grains,1,145118,6.890943921498367e-06,0.0006890943921498367
2001,28,Oats,28,145118,0.00019294642980195427,0.019294642980195426
2001,36,Alfalfa,80,145118,0.0005512755137198693,0.05512755137198693
2001,44,Other Crops,13,145118,8.958227097947878e-05,0.008958227097947878
2001,61,Fallow/Idle Cropland,3196,145118,0.022023456773108782,2.2023456773108783
2001,63,Forest,4145,145118,0.02856296255461073,2.856296255461073
2001,83,Water,501,145118,0.0034523629046706817,0.34523629046706816
2001,176,Grass/Pasture,33934,145118,0.23383729103212558,23.38372910321256
2002,1,Corn,59118,145156,0.4072721761415305,40.72721761415305
2002,5,Soybeans,37897,145156,0.261077737055306,26.1077737055306
2002,25,Other Small Grains,48,145156,0.00033067871806883627,0.03306787180688363
2002,28,Oats,2,145156,1.3778279919534845e-05,0.0013778279919534845
2002,36,Alfalfa,115,145156,0.0007922510953732536,0.07922510953732535
2002,44,Other Crops,9,145156,6.20022596379068e-05,0.00620022596379068
2002,61,Fallow/Idle Cropland,3755,145156,0.025868720548926673,2.5868720548926674
2002,63,Forest,6575,145156,0.045296095235470804,4.52960952354708
2002,64,Shrubland,246,145156,0.001694728430102786,0.1694728430102786
2002,81,Clouds/No Data,51,145156,0.00035134613794813853,0.035134613794813856
2002,82,Developed,1545,145156,0.010643721237840667,1.0643721237840666
2002,83,Water,518,145156,0.003568574499159525,0.35685744991595253
