config,searched,delta_vs_default,seed,lofo_r2,lofo_between_r2,lofo_within_r2,loso_r2,lofo_rmse,best_k,ceiling,k_frac,ceiling_bound,at_ceiling,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,random_state,n_estimators,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"depth=6, lr=0.01, lam=0.3(462), mcw=0.3(462)",mcw,-0.002,42,0.4514188782590981,0.4535919908288871,0.4125408189816449,,4.023809825794124,2800,3050,0.918,True,0.4513,0.01,6,461.92912499999994,0.7,0.5,461.92912499999994,0.0,42,2800,6.0,0.01,0.3,0.3,,
"depth=4, lr=0.05","depth,lr",0.0012,42,0.4510495010518565,0.5013587759589744,0.3964218553860602,,4.025164277731392,110,2250,0.049,False,0.4448,0.05,4,10.0,0.7,0.5,307.95275,0.0,42,110,4.0,0.05,,,,
"depth=6, lr=0.02","depth,lr",0.0006,42,0.4503882160531711,0.4535434991982385,0.4136572290933901,,4.027587974971024,1810,2250,0.804,False,0.4499,0.02,6,10.0,0.7,0.5,307.95275,0.0,42,1810,6.0,0.02,,,,
DEFAULT (inherited),"depth,lr",0.0,42,0.4498177744259239,0.4552442816131006,0.409628170097843,,4.029677548075382,680,2250,0.302,False,0.4423,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,680,,,,,,
"depth=5, lr=0.05","depth,lr",0.0,42,0.4498177744259239,0.4552442816131006,0.409628170097843,,4.029677548075382,680,2250,0.302,False,0.4423,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,680,5.0,0.05,,,,
"lr=0.01, depth=4, lam=0.3(1848)","depth,lam",-0.0031,42,0.4495193316943854,0.5031486743341149,0.3980640089435558,,4.030770335949637,840,2050,0.41,False,0.4466,0.01,4,10.0,0.7,0.5,1847.7165,0.0,42,840,4.0,0.01,0.3,,,
"lr=0.01, depth=4, lam=0.3(1848)","depth,lam",-0.0032,42,0.4495193316943854,0.5031486743341149,0.3980640089435558,,4.030770335949637,840,3050,0.275,False,0.4475,0.01,4,10.0,0.7,0.5,1847.7165,0.0,42,840,4.0,0.01,0.3,,,
"lr=0.01, depth=6, lam=0.02(31)","depth,lam",-0.0041,42,0.4485058115432304,0.4792995838123106,0.3980331167245392,,4.034479265728707,460,2050,0.224,False,0.4482,0.01,6,10.0,0.7,0.5,30.795274999999997,0.0,42,460,6.0,0.01,0.02,,,
"lr=0.01, depth=6, lam=0.02(31)","depth,lam",-0.0042,42,0.4485058115432304,0.4792995838123106,0.3980331167245392,,4.034479265728707,460,3050,0.151,False,0.4473,0.01,6,10.0,0.7,0.5,30.795274999999997,0.0,42,460,6.0,0.01,0.02,,,
"lr=0.01, depth=3, lam=0.3(3695)","depth,lam",-0.0046,42,0.4479783511809034,0.5223218360962234,0.389779388940901,,4.036408134029245,850,2050,0.415,False,0.4433,0.01,3,10.0,0.7,0.5,3695.432999999999,0.0,42,850,3.0,0.01,0.3,,,
"lr=0.01, depth=3, lam=0.3(3695)","depth,lam",-0.0048,42,0.4479783511809034,0.5223218360962234,0.389779388940901,,4.036408134029245,850,3050,0.279,False,0.4425,0.01,3,10.0,0.7,0.5,3695.432999999999,0.0,42,850,3.0,0.01,0.3,,,
"depth=6, lr=0.05","depth,lr",-0.0021,42,0.4477055867548563,0.4835867270886655,0.398916822353065,,4.037405243996813,110,2250,0.049,False,0.4399,0.05,6,10.0,0.7,0.5,307.95275,0.0,42,110,6.0,0.05,,,,
"depth=5, lr=0.02","depth,lr",-0.0022,42,0.4475832697114068,0.488843566519125,0.3938600741880979,,4.037852302776396,200,2250,0.089,False,0.4466,0.02,5,10.0,0.7,0.5,307.95275,0.0,42,200,5.0,0.02,,,,
"lr=0.01, depth=6, lam=0.1(154)","depth,lam",-0.0054,42,0.4472113764378834,0.4514021850488958,0.4087954161502953,,4.039211238324128,2050,2050,1.0,True,0.4472,0.01,6,10.0,0.7,0.5,153.976375,0.0,42,2050,6.0,0.01,0.1,,,
"lr=0.01, depth=6, lam=0.1(154)","depth,lam",-0.0055,42,0.4472113764378834,0.4514021850488958,0.4087954161502953,,4.039211238324128,2050,3050,0.672,False,0.4462,0.01,6,10.0,0.7,0.5,153.976375,0.0,42,2050,6.0,0.01,0.1,,,
