config,searched,delta_vs_default,seed,lofo_prauc,loso_auc,lofo_auc,lofo_prauc_lift,lofo_between_rate_r2,best_k,ceiling,k_frac,ceiling_bound,at_ceiling,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,random_state,n_estimators,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"depth=4, lr=0.02","depth,lr",-0.0013,42,0.6730368956896433,,0.8670803880877935,2.894974985827616,0.401773167746396,860,1500,0.573,False,0.6707,0.02,4,4.395976,0.7,0.5,659.396334,0.0,42,860,4.0,0.02,,,,
"depth=5, lr=0.05","depth,lr",-0.0018,42,0.6726147740667496,,0.866457327891355,2.8931592881339525,0.4078073908597117,290,1500,0.193,False,0.6643,0.05,5,4.395976,0.7,0.5,659.396334,0.0,42,290,5.0,0.05,,,,
"depth=3, lr=0.02, subsample=0.5",subsample,-0.0029,42,0.6723419970099769,,0.8679695549322269,2.891985975406044,0.3872140140217947,1050,1500,0.7,False,0.672,0.02,3,4.395976,0.5,0.5,659.396334,0.0,42,1050,3.0,0.02,,,0.5,
"lr=0.02, depth=4, lam=0.3(330)","depth,lam",-0.003,42,0.672295169963252,,0.8664171409152075,2.8917845553504766,0.3944472855019887,980,1500,0.653,False,0.669,0.02,4,4.395976,0.7,0.5,329.6981671108636,0.0,42,980,4.0,0.02,0.3,,,
"lr=0.02, depth=6, lam=0.1(27)","depth,lam",-0.0031,42,0.6721217951656306,,0.8643401326115776,2.8910388076723015,0.415800611387096,300,1500,0.2,False,0.6668,0.02,6,4.395976,0.7,0.5,27.474847259238636,0.0,42,300,6.0,0.02,0.1,,,
"depth=6, lr=0.02","depth,lr",-0.0024,42,0.6719892113548629,,0.865381941338365,2.8904685167741997,0.4015497633196259,750,1500,0.5,False,0.6692,0.02,6,4.395976,0.7,0.5,659.396334,0.0,42,750,6.0,0.02,,,,
"lr=0.02, depth=3, lam=0.1(220)","depth,lam",-0.0034,42,0.6718880756111589,,0.86598316658214,2.8900334953807647,0.3825299531473813,810,1500,0.54,False,0.6681,0.02,3,4.395976,0.7,0.5,219.7987780739091,0.0,42,810,3.0,0.02,0.1,,,
"lr=0.02, depth=4, lam=0.002(2)","depth,lam",-0.0036,42,0.6716669020033905,,0.8654184829572255,2.889082147741259,0.3935661239033137,390,1500,0.26,False,0.6673,0.02,4,4.395976,0.7,0.5,2.19798778073909,0.0,42,390,4.0,0.02,0.002,,,
"lr=0.02, depth=6, lam=0.002(1)","depth,lam",-0.0039,42,0.671328494678463,,0.8654244812146039,2.8876265355051984,0.4118765074788548,280,1500,0.187,False,0.6631,0.02,6,4.395976,0.7,0.5,0.5494969451847727,0.0,42,280,6.0,0.02,0.002,,,
"lr=0.02, depth=3, lam=0.02(44)","depth,lam",-0.0046,42,0.6706694143406147,,0.8653434307650747,2.8847915927198304,0.3878376631958197,660,1500,0.44,False,0.6648,0.02,3,4.395976,0.7,0.5,43.95975561478182,0.0,42,660,3.0,0.02,0.02,,,
"lr=0.02, depth=4, lam=0.1(110)","depth,lam",-0.0049,42,0.6703212055189501,,0.8657380901663826,2.883293820703141,0.3821521276487725,710,1500,0.473,False,0.6664,0.02,4,4.395976,0.7,0.5,109.89938903695456,0.0,42,710,4.0,0.02,0.1,,,
"depth=4, lr=0.01","depth,lr",-0.0041,42,0.6702584616854957,,0.8663598087699914,2.883023936794059,0.3967346635477646,1500,1500,1.0,True,0.6703,0.01,4,4.395976,0.7,0.5,659.396334,0.0,42,1500,4.0,0.01,,,,
"lr=0.02, depth=5, lam=0.3(165)","depth,lam",-0.0052,42,0.6700866418338924,,0.8644650029070323,2.882284877500808,0.3969389944427024,590,1500,0.393,False,0.6646,0.02,5,4.395976,0.7,0.5,164.8490835554318,0.0,42,590,5.0,0.02,0.3,,,
"lr=0.02, depth=4, lam=0.02(22)","depth,lam",-0.0052,42,0.6700627369730253,,0.864402163046373,2.882182054052802,0.400076641976445,440,1500,0.293,False,0.6631,0.02,4,4.395976,0.7,0.5,21.97987780739091,0.0,42,440,4.0,0.02,0.02,,,
"lr=0.02, depth=5, lam=0.02(11)","depth,lam",-0.0058,42,0.6694854809747921,,0.8630782210394816,2.8796990673309644,0.3993155126840595,400,1500,0.267,False,0.6629,0.02,5,4.395976,0.7,0.5,10.989938903695457,0.0,42,400,5.0,0.02,0.02,,,
"lr=0.02, depth=3, lam=0.002(4)","depth,lam",-0.0061,42,0.6691265676202823,,0.865445709437204,2.878155251248905,0.3736739681485972,620,1500,0.413,False,0.6671,0.02,3,4.395976,0.7,0.5,4.395975561478181,0.0,42,620,3.0,0.02,0.002,,,
"lr=0.02, depth=5, lam=0.1(55)","depth,lam",-0.0065,42,0.6687710980644779,,0.8627639110678966,2.8766262481899822,0.3940802487063199,550,1500,0.367,False,0.665,0.02,5,4.395976,0.7,0.5,54.94969451847727,0.0,42,550,5.0,0.02,0.1,,,
"depth=4, lr=0.05","depth,lr",-0.006,42,0.6683391772470959,,0.8635752947562244,2.874768400618494,0.3946540546339122,540,1500,0.36,False,0.6622,0.05,4,4.395976,0.7,0.5,659.396334,0.0,42,540,4.0,0.05,,,,
"depth=3, lr=0.01","depth,lr",-0.0064,42,0.6679651552832389,,0.8655255126741357,2.8731595969459898,0.3790677621992545,1500,1500,1.0,True,0.668,0.01,3,4.395976,0.7,0.5,659.396334,0.0,42,1500,3.0,0.01,,,,
"depth=6, lr=0.05","depth,lr",-0.0067,42,0.6676564729870652,,0.863456801415436,2.8718318428039606,0.4017316452228108,270,1500,0.18,False,0.6611,0.05,6,4.395976,0.7,0.5,659.396334,0.0,42,270,6.0,0.05,,,,
"lr=0.02, depth=6, lam=0.3(82)","depth,lam",-0.0082,42,0.6670599674242921,,0.8628854875565932,2.869266056746473,0.4021029629153877,440,1500,0.293,False,0.6648,0.02,6,4.395976,0.7,0.5,82.4245417777159,0.0,42,440,6.0,0.02,0.3,,,
