monitoring_location_id,lat,lon,dist_km,nearest_uid,nearest_src,overlap_yr,families
USGS-422813091072801,42.470333,-91.124556,0.0,USGS-05418110,USGS,2.494267624914442,precip_site
USGS-431246095142101,43.2127777777778,-95.2391666666667,3.750966702860966e-12,USGS-06604440,USGS,3.3319644079397674,precip_site
USGS-05454220,41.7183444444444,-91.7401722222222,0.011700343898905763,WQS0003,IWQIS,12.550146398965701,discharge+stage
USGS-05422000,41.7669722222222,-90.5348555555556,0.014422378017653403,WQS0023,IWQIS,11.602611954014247,discharge+stage
USGS-05455700,41.4237777777778,-91.4785277777778,0.014570620127475719,WQS0006,IWQIS,5.444995817172408,discharge+stage
USGS-05411900,42.9524166666667,-91.6429722222222,0.01863030394203653,WQS0009,IWQIS,3.623659593885467,discharge
USGS-05388250,43.4210841247514,-91.5087519106123,0.023821824671404406,WQS0064,IWQIS,8.47907065176059,discharge+stage
USGS-06609500,41.6416944444444,-95.7823333333333,0.02507590732878696,WQS0040,IWQIS,10.096661343067915,discharge+stage
USGS-05455500,41.4697387242571,-91.7146129287325,0.03835678957721961,WQS0005,IWQIS,14.018670621340025,discharge+stage
USGS-05454300,41.6766805555556,-91.5987777777778,0.044470692476970344,WQS0002,IWQIS,13.579911019849419,discharge+stage
USGS-05480820,42.7244138888889,-93.9466944444444,0.04619221648136563,WQS0039,IWQIS,6.352137044642179,discharge+stage
USGS-06607200,42.1567777777778,-95.8102777777778,0.046493260974882884,WQS0042,IWQIS,2.6742242756103125,discharge+stage
USGS-05389000,43.1119166666667,-91.2651388888889,0.047683304804579656,WQS0063,IWQIS,9.018001368925393,discharge+stage
USGS-06898000,40.6402777777778,-93.8080555555556,0.05166396280837057,WQS0036,IWQIS,3.243754277891855,discharge+stage
USGS-05389400,43.0408174743767,-91.2065191770473,0.055828911144696104,WQS0111,IWQIS,4.881110730854058,discharge+stage
USGS-06483500,43.2150833333333,-96.2950277777778,0.06163054678082337,WQS0067,IWQIS,8.761955281770478,discharge+stage
USGS-06608500,41.8305833333333,-95.93225,0.06282739404899595,WQS0061,IWQIS,7.641569701117956,discharge+stage
USGS-05465000,41.4091916666667,-91.2904305555556,0.0676916542808042,WQS0007,IWQIS,13.910592060232718,discharge+stage
USGS-06600500,42.5763888888889,-96.3115555555556,0.08552947296795714,WQS0043,IWQIS,10.145999695794357,discharge+stage
USGS-06607500,41.9650277777778,-95.97225,0.08718402624053244,WQS0041,IWQIS,1.165592440489771,discharge+stage
USGS-05418500,42.0833527777778,-90.6329166666667,0.12881248959873487,WQS0118,IWQIS,2.173501787208153,discharge+stage
USGS-05490500,40.7278055555556,-91.9596138888889,0.1305529025697168,WQS0033,IWQIS,10.19576583770629,discharge+stage
