monitoring_location_id,lat,lon,dist_km,nearest_uid,nearest_src,overlap_yr,families
USGS-05583000,40.1233611111111,-89.9839722222222,23.362722933564783,USGS-05568705,USGS,4.127053388090349,discharge+stage+water_temp
USGS-05570400,40.3405983450664,-90.189287317433,23.37669558706849,USGS-05568705,USGS,3.104665754049738,water_temp
USGS-06602020,42.22705555555556,-96.07783333333333,23.415445770691136,WQS0042,IWQIS,2.6742242756103125,discharge+stage
USGS-05387030,43.61074,-91.361237,23.558335958857704,WQS0091,IWQIS,4.021840063883185,discharge+stage
USGS-06483950,43.051389,-96.489444,24.02698527206858,WQS0067,IWQIS,8.761955281770478,discharge+stage
USGS-06807000,40.6818055555556,-95.8470833333333,24.0525462088868,WQS0044,IWQIS,9.624857403604837,discharge+stage+turbidity+water_temp
USGS-05489200,41.1558422200168,-92.6388033245486,24.10742768395132,WQS0115,IWQIS,3.9399574112099778,discharge+stage
USGS-06482610,43.616389,-96.565,24.183456923009153,USGS-06481000,USGS,6.279289299566506,discharge+stage
USGS-06481400,43.573056,-96.763889,24.221596047685246,USGS-06481000,USGS,6.279289299566506,discharge+stage
USGS-05455140,41.6474983434882,-92.5712987686299,24.266239122391415,WQS0059,IWQIS,1.6677751159784016,discharge+stage
USGS-405451091483301,40.9141666666667,-91.8091666666667,24.412740458441245,WQS0033,IWQIS,10.19576583770629,groundwater
USGS-440405096290501,44.06805833333333,-96.48472222222222,24.520345329455616,USGS-06480000,USGS,2.284765001140771,groundwater
USGS-05422600,41.54611366059385,-90.52400219044199,24.56735089396251,WQS0023,IWQIS,10.395162718330957,discharge+stage
USGS-05457440,43.4149654172382,-92.9849186519168,24.765982221935314,USGS-05457000,USGS,1.7014031485284051,discharge+stage
USGS-06480650,44.062722,-96.485306,24.78876907528076,USGS-06480000,USGS,2.284765001140771,discharge+stage
USGS-06901100,40.1419630661625,-93.1854870556726,24.890674550052555,USGS-06900050,USGS,2.388546657540529,discharge+stage
USGS-06482020,43.567028,-96.711,24.99881262581576,USGS-06481000,USGS,6.279289299566506,discharge+stage
USGS-06819110,40.8277645602027,-94.738582688725,25.062359676306524,USGS-06817000,USGS,13.067191421400898,discharge+stage
USGS-0548065350,43.1116297735732,-93.9063377049733,25.185178489741872,WQS0108,IWQIS,1.3664632291429006,discharge+stage
USGS-06483290,43.4231388888889,-96.1649166666667,25.478152476973705,WQS0067,IWQIS,8.761955281770478,discharge+stage
USGS-06482848,43.286667,-96.596111,25.63917290809451,WQS0067,IWQIS,7.759217430983377,discharge+stage
USGS-05469350,40.9705920921294,-91.0418111033136,25.896072216436007,USGS-05465500,USGS,16.15822496007304,discharge+stage
USGS-05474900,43.678455,-95.452789,25.97195093759553,USGS-06603750,USGS,1.4153547798311659,discharge+stage
USGS-06819185,40.6609722222222,-94.7163055555556,25.992438619632086,USGS-06819550,USGS,4.354380561259411,discharge+stage
USGS-05567545,40.56815,-89.31869999999999,26.146279802688635,USGS-05559900,USGS,2.37345995893227,water_temp
USGS-05582000,40.1318555555556,-89.7357138888889,26.423605884206843,USGS-05568705,USGS,4.127053388090349,discharge+stage+water_temp
USGS-05416900,42.4699878417593,-91.4487146874303,26.587742130344107,USGS-05418110,USGS,2.494267624914442,discharge+stage
USGS-05460400,43.0053888888889,-92.9255833333333,26.835073415378563,WQS0008,IWQIS,4.396275382158371,discharge+stage
USGS-430019092553201,43.0053888888889,-92.9255833333333,26.835073415378563,WQS0008,IWQIS,3.154888204426224,precip_site
USGS-0680737930,41.645543686734,-95.2052730978278,26.886233772770968,WQS0037,IWQIS,5.335985626283367,discharge+stage
USGS-06605850,42.8963055555556,-95.243,26.894820955181345,WQS0062,IWQIS,1.3626568560346795,discharge+stage
USGS-06817500,40.4449166666667,-95.0903055555555,26.963582951995065,USGS-06819550,USGS,4.354380561259411,discharge+stage
MO005-403501091420401,40.58361111111111,-91.70111111111112,27.07441137781807,WQS0033,IWQIS,10.19576583770629,groundwater
USGS-05568500,40.5534388888889,-89.7772722222222,27.079832325031198,USGS-05559900,USGS,3.1058920830481402,discharge+stage+velocity
USGS-05482430,42.1690555555556,-94.7260277777778,27.39393825426028,WQS0104,IWQIS,5.048290744543311,stage
USGS-06605750,42.9725,-95.1611111111111,27.459197052214467,USGS-06604440,USGS,3.3319644079397674,discharge+stage
USGS-05494300,40.7694656302155,-92.4187964020941,27.496091553443534,WQS0049,IWQIS,1.2068408243972926,discharge+stage
USGS-05452500,41.8590555555556,-92.2779166666667,27.683763557073053,WQS0101,IWQIS,3.5648623469465357,discharge+stage
