parameter_code,n_sites,param,n_sites_active,family,in_core
72243,1,Discharge,0,-,False
61055,1,"Water level, depth MP",1,-,False
72320,1,Air gap,1,-,False
72321,1,Stream velocity,0,-,False
72431,1,Cosmic ray neutron,1,-,False
50042,1,Discharge,0,-,False
75971,1,Transducer excitaton,0,-,False
49956,1,DistObsrvPntSampLoc,0,-,False
70391,1,"Chloride flux, wf, by regres",1,-,False
80156,1,Total sediment disch,0,-,False
72124,1,Net radiation,0,-,False
