site_uid,n,lifespan_yr,sparsity,mean,med,std,vmin,vmax,pct_neg,pct_out,ac1,noise,roughness,spike_rate,flatline_frac,seg_noise,seg_flat,seasonal_coherence,z_mean,z_std,z_noise,z_ac1,z_seasonal_coherence,z_flatline_frac,z_seg_noise,z_seg_flat,known_bad,in_manifest
WQS0090,184105.0,3.454,0.9637,2.88,2.69,1.335,0.12,25.97,0.0,0.0,0.9913,0.1316,0.0145,0.016,14.29,0.595,0.643,-0.0961873185466189,-1.28,-1.13,1.78,-3.74,-2.03,2.92,-0.27,5.22,True,True
WQS0091,276035.0,4.022,0.998,4.746,5.08,1.341,0.11,38.65,0.0,0.0,0.9906,0.137,0.0085,0.008,17.48,0.9288,0.1515,-0.21511848057767322,-0.6,-1.13,1.91,-4.1,-2.37,3.82,0.45,0.5,True,True
WQS0092,0.0,3.334,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0093,0.0,2.475,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0094,1.0,5.006,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0095,0.0,2.505,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0096,0.0,1.317,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0097,0.0,2.508,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0098,0.0,2.508,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0099,0.0,2.505,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0100,0.0,2.546,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0101,262511.0,3.771,0.9997,9.591,11.81,5.94,0.11,25.97,0.0,0.0,0.9952,0.0976,0.1005,0.338,4.3,0.9006,0.2355,0.8691252996420769,1.19,1.51,0.99,-1.71,0.79,0.09,0.39,1.31,False,True
WQS0102,246363.0,9.889,0.9984,6.521,5.33,3.177,0.11,25.97,0.0,0.0,0.9981,0.062,0.0228,0.025,6.58,1.1284,0.484,0.7861885737024349,0.06,-0.07,0.17,-0.21,0.55,0.74,0.88,3.7,False,True
WQS0103,137063.0,3.543,0.8265,5.387,4.26,3.29,0.11,25.97,0.0,0.0,0.9864,0.1648,0.1638,0.288,1.12,0.8559,0.0765,0.7189771570376261,-0.36,-0.01,2.55,-6.28,0.35,-0.8,0.29,-0.22,False,True
WQS0104,149322.0,5.708,0.5717,14.74,15.935,8.148,0.11,31.7,0.0,0.0,0.9998,0.0212,0.0286,0.043,2.21,0.2751,1.119,0.6738599838365767,3.09,2.78,-0.78,0.67,0.22,-0.5,-0.96,8.0,False,True
WQS0105,0.0,4.101,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0106,0.0,10.612,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0107,77313.0,1.366,0.9423,2.211,0.76,2.914,0.11,25.04,0.0,0.0,0.9989,0.0467,0.02,0.005,14.8,0.8363,0.069,0.38003239823959817,-1.53,-0.23,-0.19,0.21,-0.64,3.06,0.25,-0.29,False,True
WQS0108,42127.0,1.366,0.9119,3.276,1.23,4.844,0.11,24.09,0.0,0.0,0.9962,0.0873,0.1253,0.154,2.57,0.6756,0.068,0.17398879926619715,-1.14,0.88,0.75,-1.19,-1.24,-0.39,-0.1,-0.3,False,True
WQS0109,210016.0,3.406,0.9516,2.015,1.93,1.197,0.11,9.97,0.0,0.0,0.9988,0.048,0.0237,0.001,8.59,0.8557,0.074,0.7459167387730471,-1.6,-1.21,-0.16,0.16,0.43,1.31,0.29,-0.24,False,True
WQS0110,35619.0,0.469,0.7807,4.319,4.56,1.208,0.11,6.55,0.0,0.0,0.9982,0.0595,0.0228,0.003,0.0,0.553,0.0095,-0.050620627659801236,-0.75,-1.21,0.11,-0.16,-1.89,-1.12,-0.36,-0.86,False,True
WQS0111,320989.0,4.881,0.9822,6.295,6.0,2.557,0.11,25.97,0.0,0.0,0.9963,0.0862,0.03,0.03,3.32,1.2515,2.034,0.21190527287460387,-0.02,-0.43,0.73,-1.14,-1.13,-0.18,1.15,8.0,False,True
WQS0112,106998.0,2.773,0.6615,4.296,3.62,3.759,0.11,22.58,0.0,0.0,0.9992,0.0409,0.0273,0.007,6.01,1.1556,0.1075,0.742782984001252,-0.76,0.26,-0.32,0.36,0.42,0.58,0.94,0.08,False,True
WQS0113,451953.0,12.402,0.9662,7.229,6.7,4.731,0.15,48.84,0.0,0.457,0.9998,0.0192,0.0081,0.002,17.15,1.2661,0.2755,0.21456882923423612,0.32,0.82,-0.83,0.67,-1.12,3.73,1.18,1.69,True,True
WQS0114,413397.0,4.692,0.9978,17.662,17.09,5.182,0.56,49.99,0.0,0.22,0.9988,0.048,0.0492,0.094,1.06,0.8987,1.027,0.3748761024360426,4.16,1.08,-0.16,0.16,-0.65,-0.82,0.39,8.0,False,True
WQS0115,393326.0,3.94,0.995,4.083,2.7,3.45,0.11,25.97,0.0,0.0,0.9991,0.0413,0.0147,0.043,19.03,0.6875,0.106,0.8373219903761746,-0.84,0.08,-0.31,0.31,0.7,4.26,-0.07,0.07,False,True
WQS0116,0.0,2.338,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0117,0.0,2.337,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0118,103962.0,2.174,0.9993,8.589,7.94,3.175,0.11,25.97,0.0,0.0,0.9995,0.033,0.0341,0.016,2.22,0.2609,0.0415,0.7989285693191746,0.82,-0.08,-0.51,0.52,0.59,-0.49,-0.99,-0.55,False,True
WQS0119,85967.0,0.911,0.9574,7.562,7.69,3.409,0.11,18.32,0.0,0.0,0.9999,0.016,0.0206,0.001,6.54,0.3528,0.155,0.6999404394209032,0.44,0.06,-0.9,0.73,0.3,0.73,-0.79,0.54,False,True
WQS0120,52090.0,0.495,1.0,6.474,5.87,1.611,2.35,11.82,0.0,0.0,1.0,0.0078,0.0062,0.0,5.74,0.0432,0.034,0.49776414545554465,0.04,-0.97,-1.09,0.78,-0.29,0.5,-1.47,-0.62,False,True
WQS0121,52729.0,0.512,1.0,5.392,4.73,1.735,2.2,11.0,0.0,0.0,0.9999,0.0104,0.0125,0.0,0.0,0.1839,0.0095,0.3606169211129046,-0.36,-0.9,-1.03,0.73,-0.69,-1.12,-1.16,-0.86,False,True
WQS0122,10103.0,0.444,1.0,8.032,7.78,1.607,3.31,28.08,0.0,0.0,0.9945,0.1051,0.0155,0.01,2.38,0.1972,0.0605,0.5515938724229029,0.62,-0.98,1.17,-2.08,-0.13,-0.45,-1.13,-0.37,False,True
WQS0123,38588.0,0.961,0.9859,8.336,7.95,2.088,0.11,13.25,0.0,0.0,0.9997,0.024,0.0109,0.005,7.89,0.116,0.031,-0.22329269090126294,0.73,-0.7,-0.72,0.62,-2.4,1.11,-1.31,-0.65,False,True
WQS0124,23131.0,0.821,0.55,13.128,14.57,5.984,0.11,20.7,0.0,0.0,0.9997,0.025,0.0363,0.022,3.44,0.1138,0.0725,0.7616114060912352,2.49,1.54,-0.69,0.62,0.48,-0.15,-1.31,-0.25,False,True
WQS0126,26818.0,0.843,0.7059,6.615,5.99,3.726,0.11,21.79,0.0,0.0,0.9998,0.0181,0.0232,0.004,1.27,0.104,0.0235,0.7994236495253152,0.09,0.24,-0.85,0.67,0.59,-0.76,-1.33,-0.72,False,True
WQS9901,17715.0,8.342,0.9865,1.461,0.68,1.582,0.11,5.25,0.0,0.0,0.9996,0.0292,0.007,0.006,14.33,0.419,0.0235,-0.42852824482527463,-1.81,-0.99,-0.59,0.57,-3.0,2.93,-0.65,-0.72,True,True
WQS9902,17315.0,8.991,0.4633,6.123,6.62,4.945,0.11,25.97,0.0,0.0,0.992,0.1264,0.0937,0.427,6.34,0.5897,0.0585,0.6372046435988585,-0.09,0.94,1.66,-3.37,0.12,0.67,-0.28,-0.39,True,True
WQS9903,3280.0,6.28,0.469,1.788,0.16,1.947,0.11,11.75,0.0,0.0,0.993,0.1182,0.0273,0.122,11.49,,,-0.6829305783335681,-1.69,-0.78,1.47,-2.85,-3.74,2.13,,,True,True
WQS9904,51.0,5.27,0.34,0.523,0.43,0.704,0.33,5.5,0.0,0.0,-0.036,1.453,0.3149,4.0,0.0,,,-0.4162888916950083,-2.15,-1.5,8.0,-8.0,-2.96,-1.12,,,True,True
WQS9931,112.0,0.006,1.0,0.391,0.3,1.132,0.22,12.31,0.0,0.0,0.0788,1.0028,0.116,0.901,25.0,,,-0.5432444934605797,-2.2,-1.25,8.0,-8.0,-3.33,5.95,,,False,False
WQS9953,4.0,0.209,1.0,,,,,,,,,,,,,,,0.9999999999999999,,,,,1.18,,,,False,False
WQS9995,0.0,4.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False
WQS9996,673.0,0.032,0.9985,5.794,5.89,1.371,2.61,13.53,0.0,0.0,0.3571,1.1345,1.1785,5.952,0.0,,,-0.2820303062869347,-0.21,-1.11,8.0,-8.0,-2.57,-1.12,,,False,False
WQS9997,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,False,False
WQS9998,2.0,2.043,0.6667,,,,,,,,,,,,,,,-1.0,,,,,-4.67,,,,False,False
WQS9999,778.0,5.281,0.0896,8.198,7.99,0.877,1.1,10.12,0.0,0.0,0.8714,0.4976,0.0818,0.644,0.0,,,0.10446106503780826,0.68,-1.4,8.0,-8.0,-1.44,-1.12,,,False,True
WQT0001,11883.0,1.626,0.1198,1.066,0.669,1.868,0.1,16.393,0.0,0.0,0.985,0.1731,0.121,0.185,0.0,1.3069,0.001,-0.2838030299581922,-1.95,-0.83,2.75,-7.0,-2.57,-1.12,1.27,-0.94,False,False
WW00001,64342.0,0.75,0.8539,4.584,4.53,1.407,0.16,23.83,0.0,0.0,0.9967,0.0816,0.0188,0.008,0.55,0.7769,0.0205,-0.13046695384634088,-0.66,-1.09,0.62,-0.93,-2.13,-0.97,0.12,-0.75,False,False
WW00002,49466.0,0.606,0.9388,3.459,3.47,1.485,1.06,6.55,0.0,0.0,0.9999,0.0135,0.017,0.0,0.67,0.3572,0.028,-0.5027719852400611,-1.07,-1.05,-0.96,0.73,-3.21,-0.93,-0.79,-0.68,False,False
