site_uid,n,lifespan_yr,sparsity,mean,med,std,vmin,vmax,pct_neg,pct_out,ac1,noise,roughness,spike_rate,flatline_frac,seg_noise,seg_flat,seasonal_coherence,z_mean,z_std,z_noise,z_ac1,z_seasonal_coherence,z_flatline_frac,z_seg_noise,z_seg_flat,known_bad,in_manifest
WQS0007,767267.0,14.011,0.8622,5.123,5.358,3.157,0.1,45.4,0.0,0.0,0.9965,0.0838,0.0512,0.139,5.25,1.1341,0.172,0.489740363914059,-0.46,-0.09,0.67,-1.04,-0.32,0.36,0.9,0.7,False,True
WQS0008,439554.0,10.513,0.8974,5.331,3.94,5.335,0.1,32.74,0.0,0.0,0.9979,0.0655,0.0792,0.207,6.36,1.4205,7.188,0.42876825501882804,-0.38,1.17,0.25,-0.31,-0.49,0.68,1.52,8.0,False,True
WQS0009,247749.0,4.419,0.9869,6.579,6.327,3.094,0.1,25.97,0.0,0.0,0.999,0.0441,0.0167,0.031,4.4,0.4719,1.415,0.3898012515563955,0.08,-0.12,-0.25,0.26,-0.61,0.12,-0.54,8.0,False,True
WQS0010,639827.0,12.207,0.8162,5.381,5.33,3.375,0.104,25.97,0.0,0.0,0.9992,0.0401,0.0227,0.007,4.26,1.3219,0.2705,0.800957800234096,-0.36,0.04,-0.34,0.36,0.59,0.08,1.3,1.65,False,True
WQS0011,323865.0,4.54,0.9329,7.848,8.57,3.405,0.1,25.97,0.0,0.0,0.9981,0.0613,0.0425,0.104,2.94,0.8963,0.055,0.5506028495042428,0.55,0.06,0.15,-0.21,-0.14,-0.29,0.38,-0.42,False,True
WQS0012,595624.0,9.394,0.9929,8.144,8.05,3.455,0.105,25.97,0.0,0.0,0.9982,0.0592,0.0257,0.01,1.24,0.996,1.092,0.7400467182406952,0.66,0.09,0.1,-0.16,0.42,-0.77,0.6,8.0,False,True
WQS0013,425608.0,8.472,0.9161,7.879,8.04,3.391,0.103,33.84,0.0,0.0,0.9957,0.0924,0.0563,0.209,3.89,1.1416,0.356,0.787058382788443,0.56,0.05,0.87,-1.45,0.55,-0.02,0.91,2.47,False,True
WQS0014,418514.0,8.461,0.9602,6.853,6.65,4.313,0.1,49.58,0.0,0.001,0.9983,0.0584,0.0553,0.109,6.03,0.9982,0.5355,0.8058429635234086,0.18,0.58,0.08,-0.1,0.61,0.58,0.6,4.19,False,True
WQS0015,170586.0,2.763,0.9965,9.499,9.523,1.997,0.106,15.99,0.0,0.0,0.9996,0.0282,0.0056,0.004,4.57,0.3426,0.0345,0.5202709830641516,1.16,-0.75,-0.62,0.57,-0.23,0.17,-0.82,-0.62,False,True
WQS0016,211784.0,3.641,0.9906,11.211,11.535,2.386,0.102,24.03,0.0,0.0,0.9986,0.0522,0.0671,0.008,0.0,0.4372,0.0075,0.5318894942905987,1.79,-0.53,-0.06,0.05,-0.19,-1.12,-0.61,-0.88,False,True
WQS0017,144332.0,2.382,0.9955,7.239,7.363,3.247,0.1,24.3,0.0,0.0,0.9998,0.0223,0.0138,0.008,1.7,0.454,0.032,0.4896962685530557,0.32,-0.03,-0.75,0.67,-0.32,-0.64,-0.58,-0.64,False,True
WQS0018,159245.0,2.385,0.9966,8.197,7.79,3.106,0.101,16.44,0.0,0.0,0.9999,0.0166,0.0073,0.003,3.17,0.2145,0.042,0.5462222651704709,0.68,-0.11,-0.89,0.73,-0.15,-0.22,-1.09,-0.55,False,True
WQS0019,98829.0,2.051,0.8009,0.777,0.538,0.781,0.1,25.968,0.0,0.0,0.9882,0.1534,0.005,0.003,1.19,0.6699,0.0945,0.10816875241942082,-2.06,-1.45,2.29,-5.34,-1.43,-0.78,-0.11,-0.04,False,True
WQS0020,330908.0,9.492,0.9587,1.821,1.52,1.293,0.1,25.97,0.0,0.0,0.9972,0.0749,0.0228,0.003,3.42,0.9098,0.6085,0.45433358256879053,-1.67,-1.16,0.47,-0.67,-0.42,-0.15,0.41,4.89,False,True
WQS0021,301253.0,4.446,0.9833,7.482,8.22,3.163,0.11,14.68,0.0,0.0,0.9992,0.0391,0.0193,0.019,9.85,0.4897,0.1375,0.7970691281955461,0.41,-0.08,-0.36,0.36,0.58,1.66,-0.5,0.37,False,True
WQS0022,297075.0,4.199,0.9864,8.932,9.48,2.684,0.105,21.16,0.0,0.0,0.9995,0.0309,0.0201,0.011,2.32,0.4551,0.088,0.769066983053202,0.95,-0.36,-0.55,0.52,0.5,-0.47,-0.57,-0.11,False,True
