site_uid,latitude,longitude,monitoring_location_name,monitoring_location_number,agency_code,site_type,state_code,state_name,county_name,hydrologic_unit_code,drainage_area,drainage_area_source,altitude,vertical_datum,iwqis_uid,iwqis_river,iwqis_town,iwqis_description,iwqis_colloc_uid,iwqis_colloc_site_uid,iwqis_link_uid,iwqis_status,iwqis_nickname,is_groundwater,source
USGS-05374900,44.3119102928637,-92.0040541082763,"ZUMBRO RIVER AT KELLOGG, MN",05374900,USGS,Stream,27,Minnesota,Wabasha County,070400040512,1400.0,usgs,669.47,NGVD29,,,,,,,,,,False,USGS
USGS-05412500,42.7399884281497,-91.2617990802579,"Turkey River at Garber, IA",05412500,USGS,Stream,19,Iowa,Clayton County,070600040902,1545.0,usgs,638.88,NAVD88,05412500,Turkey River,Garber,"On right bank on downstream side of bridge on County Highway C43, at southern edge of Garber, 800 ft upstream from Wayman Creek, 2,000 ft downstream from Elk Creek, 1.0 mi downstream from Volga River, and 21.2 mi upstream from mouth.",05412500,,434514,ok,grbi4,False,USGS
USGS-05418110,42.470333,-91.124556,"NF Maquoketa River below Bear Cr at Dyersville, IA",05418110,USGS,Stream,19,Iowa,Dubuque County,0706000603,122.0,usgs,924.95,NAVD88,05418110,NF Maquoketa River,Dyersville,"On right bank 10 ft downstream from bridge on U.S. Highway 20 in Dyersville, 0.4 mi downstream from Bear Creek, and 70.8 mi upstream from mouth",05418110,,343528,ok,,False,USGS
USGS-05418400,42.1643333333333,-90.7293333333333,"North Fork Maquoketa River near Fulton, IA",05418400,USGS,Stream,19,Iowa,Jackson County,070600060803,505.0,usgs,678.58,NAVD88,05418400,North Fork Maquoketa River,Fulton,"On right bank downstream from County Highway E17, 7.0 mi northeast of Maquoketa, 0.25 mi upstream from Prairie Creek, 12.4 mi upstream from mouth, and 42.4 mi upstream from mouth of Maquoketa River.",05418400,,314529,ok,,False,USGS
USGS-05418720,42.1638611111111,-90.3350833333333,"Maquoketa River near Green Island, IA",05418720,USGS,Stream,19,Iowa,Jackson County,070600061007,1869.0,usgs,582.12,NAVD88,05418720,Maquoketa River,Green Island,"On left bank on downstream side of bridge on U.S. Highway 52, 0.9 mi northwest of Green Island, and 2.2 mi upstream from mouth.",05418720,,285528,ok,,False,USGS
USGS-05420400,41.8944725373443,-90.1567930273846,"MISSISSIPPI RIVER AT DAM 13 NEAR FULTON, IL",05420400,USGS,Stream,17,Illinois,Whiteside County,070801010204,85600.0,usgs,567.84,NAVD88,,,,,,,,,,False,USGS
USGS-05420500,41.7805863501123,-90.2520730305021,"Mississippi River at Clinton, IA",05420500,USGS,Stream,19,Iowa,Clinton County,070801010204,85600.0,usgs,562.54,NAVD88,05420500,Mississippi River,Camanche,"On right bank near end of 8th Avenue in Camanche, 5.0 mi upstream from Wapsipinicon River, 6.4 mi downstream from Clinton, 10.6 mi downstream from Lock and Dam 13, and 511.8 mi upstream from Ohio River.",05420500,,544334,ok,cmmi4,False,USGS
USGS-05432927,42.874722222222225,-89.79916666666666,"PLEASANT VALLEY CREEK @ CTH H NR BLANCHARDVILLE,WI",05432927,USGS,Stream,55,Wisconsin,Dane County,070900030501,19.3,usgs,877.0,NAVD88,,,,,,,,,,False,USGS
USGS-05446500,41.5561111111111,-90.1852777777778,"ROCK RIVER NEAR JOSLIN, IL",05446500,USGS,Stream,17,Illinois,Rock Island County,070900051104,9549.0,usgs,563.74,NAVD88,05446500,Rock River,Joslin,This site is located in Illinois and used to get an estimate of the load in LACMRERS.,05446500,,,ok,,False,USGS
USGS-05447500,41.4889333333333,-90.1580083333333,"GREEN RIVER NEAR GENESEO, IL",05447500,USGS,Stream,17,Illinois,Henry County,070900070504,1003.0,usgs,577.68,NAVD88,,,,,,,,,,False,USGS
