site_uid,n_samples,lifespan_yr,mean,std,vmax,pct_out,ac1,noise,spike_rate,flatline_frac,longest_flat_days,seg_noise,seg_flat,n_scrubbed,seasonal_strength,seasonal_coherence,range_violation,dead_autocorr,extreme_noise,noisy,scale_outlier,flatline_heavy,seg_bad,aseasonal,score,flagged,signals,station_name,n_nitrate_days
USGS:01574000,172029,6.132,1.68,1.15,8.2,0.0,0.9916,0.1297,0.005,22.4,27.4,1.0803,1.314,0,0.23548291749890904,0.6726496332568904,False,False,False,False,False,False,True,False,13.58,True,seg_bad,"West Conewago Creek near Manchester, PA",1932
USGS:05576195,265368,11.168,5.004,3.985,19.3,0.0,0.9999,0.0146,0.001,46.11,21.28,1.1791,1.0195,0,0.5523593563060636,0.40516484826331456,False,False,False,False,False,True,True,False,12.64,True,"flatline_heavy, seg_bad","SUGAR CREEK NEAR CHATHAM, IL",2777
USGS:0110588332,157464,4.907,0.837,0.248,1.6,0.0,0.993,0.1181,0.0,73.0,7.75,0.6784,0.37,0,0.10735712059512514,0.2572348195522296,False,False,False,False,False,True,False,False,12.22,True,flatline_heavy,"MARSTONS MILLS RV, DS OUT. OF BOG, MARS. MILLS, MA",1760
USGS:015319015,35066,1.379,0.7,0.66,42.0,0.0,0.9061,0.4334,0.009,10.89,0.62,1.231,0.0275,0,0.5930224640989472,0.46427712883681,False,False,True,True,False,False,False,False,11.38,True,"extreme_noise, noisy","N Br Towanda Cr, Clark Rd nr Granville Summit PA",389
USGS:03432100,43715,1.54,0.943,0.409,3.0,0.0,0.9974,0.072,0.0,78.14,9.01,0.2942,0.424,0,0.20791644540818133,0.08984603203407909,False,False,False,False,False,True,False,False,11.36,True,flatline_heavy,"HARPETH RIVER AT MCDANIEL, TN",472
USGS:05599490,331290,10.806,0.67,0.395,5.9,0.0,0.9923,0.1241,0.0,47.06,10.8,0.7811,0.519,0,0.003755887485268561,0.31252827209421935,False,False,False,False,False,True,False,True,11.34,True,"flatline_heavy, aseasonal","BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL",3535
USGS:05576100,263948,11.162,4.322,3.891,23.7,0.0,0.9994,0.0343,0.012,25.01,27.23,0.7996,1.3075,0,0.40785987101187093,0.07434394363199588,False,False,False,False,False,False,True,False,11.12,True,seg_bad,"LICK CREEK NEAR WOODSIDE, IL",2773
IWQIS:WQS0009,247749,4.381,6.579,3.094,25.97,0.0,0.999,0.0441,0.031,4.4,9.82,0.4719,1.415,0,0.02913159246560315,-0.08398889825576376,False,False,False,False,False,False,True,True,10.66,True,"seg_bad, aseasonal",Otter Creek at Elgin,995
USGS:03433500,48723,1.513,1.055,0.327,2.6,0.0,0.9937,0.1124,0.0,72.8,3.1,0.3571,0.1455,0,0.06240526623430798,0.5550390194765334,False,False,False,False,False,True,False,False,10.55,True,flatline_heavy,"HARPETH RIVER AT BELLEVUE, TN",526
USGS:06899900,52018,5.996,1.128,1.697,21.8,0.0,0.9814,0.193,0.221,51.99,8.73,0.5386,0.21,0,0.05243943114050387,0.1486113332446074,False,False,False,False,False,True,False,False,10.49,True,flatline_heavy,"Medicine Creek at Lucerne, MO",1198
USGS:06901500,55429,5.993,1.023,1.126,16.1,0.0,0.9725,0.2347,0.123,40.88,8.29,0.7308,0.1995,0,0.08839959164463829,0.4314892904791723,False,False,False,True,False,False,False,False,10.18,True,noisy,"Locust Creek near Linneus, MO",1235
IWQIS:WQS0114,413367,4.692,17.662,5.182,49.99,0.0,0.9988,0.0481,0.094,1.06,7.18,0.8812,1.027,0,0.03060996456938747,0.5880201619166727,False,False,False,False,True,False,True,True,10.12,True,"scale_outlier, seg_bad, aseasonal",Bloody Run Creek Headwaters at Monona,1595
USGS:03381495,141889,6.97,1.406,0.95,14.7,0.0,0.9952,0.0979,0.005,54.94,8.14,0.5454,0.391,0,0.021176940378518805,0.32901453216442283,False,False,False,False,False,True,False,True,10.08,True,"flatline_heavy, aseasonal","LITTLE WABASH RIVER AT MAIN ST AT CARMI, IL",1533
USGS:06902000,115686,9.124,1.097,1.266,15.9,0.0,0.996,0.0893,0.01,54.04,11.5,0.5884,0.5525,0,0.15451173787553052,0.2667797226894964,False,False,False,False,False,True,False,False,10.07,True,flatline_heavy,"Grand River near Sumner, MO",1258
USGS:06818000,141717,4.668,1.466,0.932,6.0,0.0,0.9979,0.0652,0.0,50.19,11.43,1.0206,0.549,0,0.2971946325835423,0.26632803468417704,False,False,False,False,False,True,False,False,9.79,True,flatline_heavy,"Missouri River at St. Joseph, MO",1542
USGS:03276000,36019,1.073,1.304,0.594,7.2,0.0,0.9952,0.0979,0.0,59.35,8.85,0.5466,0.425,0,0.6811502327097763,0.17484383478137952,False,False,False,False,False,True,False,False,9.7,True,flatline_heavy,"EAST FORK WHITEWATER RIVER AT BROOKVILLE, IN",381
IWQIS:WQS0025,676435,11.148,2.86,0.96,25.97,0.0,0.99,0.1415,0.014,8.65,5.39,1.3109,0.7735,0,0.06792368507321955,0.5037268087163357,False,False,False,False,False,False,True,False,9.67,True,seg_bad,Catfish Creek at Dubuque,2484
USGS:07047950,66678,2.126,0.304,0.121,1.67,0.0,0.9957,0.0927,0.0,54.26,9.73,0.4174,0.4675,0,0.15761099858285632,-0.08157528667078189,False,False,False,False,False,True,False,False,9.66,True,flatline_heavy,"LAnguille River at Palestine, AR",725
USGS:05554300,271931,14.239,6.897,5.56,33.1,0.0,0.9999,0.0124,0.004,29.14,16.78,1.2132,0.806,0,0.5004021667439406,0.3450831698400456,False,False,False,False,False,False,True,False,9.47,True,seg_bad,"INDIAN CREEK NEAR FAIRBURY, IL",2853
USGS:05579610,73511,3.239,9.729,7.134,26.4,0.0,0.9999,0.0143,0.015,27.02,20.83,0.5527,1.0005,247,0.4135058017267318,0.1915798332807344,False,False,False,False,False,False,True,False,9.42,True,seg_bad,"KICKAPOO CREEK AT 2100E ROAD NEAR BLOOMINGTON, IL",769
IWQIS:WQS0012,595609,9.394,8.144,3.454,25.97,0.0,0.9982,0.0592,0.01,1.24,7.58,0.996,1.092,0,0.09733655717617329,0.13311747473873384,False,False,False,False,False,False,True,False,9.29,True,seg_bad,Slough Creek at Orchard,2147
USGS:375350097262800,179224,10.388,1.108,0.834,8.3,0.0,0.9946,0.104,0.001,42.62,9.35,0.5502,0.4495,0,0.020778459060934118,0.44853908299748035,False,False,False,False,False,False,False,True,9.23,True,aseasonal,"L ARKANSAS R UPSTREAM OF ASR FAC NR SEDGWICK, KS",3506
USGS:07144100,262156,14.447,1.001,0.894,11.4,0.0,0.9967,0.0811,0.001,40.74,9.69,0.8257,0.4655,0,0.012355081992865613,0.37829481526012365,False,False,False,False,False,False,False,True,9.23,True,aseasonal,"L ARKANSAS R NR SEDGWICK, KS",4907
USGS:01668000,89092,2.7,0.365,0.297,1.29,0.0,0.9999,0.0164,0.0,53.71,7.88,1.1589,0.3785,3219,0.26126750882102723,0.6748530444295049,False,False,False,False,False,True,False,False,9.21,True,flatline_heavy,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",975
MPCA:43020001,38538,4.824,4.157,0.759,20.64,0.0,0.9325,0.3675,0.093,0.0,0.12,1.2885,0.0095,2,0.2399223301106551,0.33668661471958866,False,False,True,True,False,False,False,False,9.18,True,"extreme_noise, noisy","Bridge Creek nr Houston, John Deere Dr",1488
USGS:06480000,43831,2.333,1.267,0.693,3.7,0.0,0.999,0.0448,0.0,69.24,5.48,0.1537,0.2635,0,0.12410965602650903,0.06473076860864983,False,False,False,False,False,True,False,False,9.13,True,flatline_heavy,"BIG SIOUX RIVER NEAR BROOKINGS, SD",478
USGS:01674500,103073,3.065,0.27,0.081,0.67,0.0,0.9991,0.043,0.0,68.9,3.18,0.2775,0.153,0,0.05451571176459591,0.41028800646774755,False,False,False,False,False,True,False,False,8.91,True,flatline_heavy,"MATTAPONI RIVER NEAR BEULAHVILLE, VA",1085
