Gauge,site_uid,decision,decided_by,note,signals,score,station_name,n_samples,lifespan_yr,n_nitrate_days,mean,std,ac1,noise,spike_rate,flatline_frac,longest_flat_days,seg_noise,seg_flat,seasonal_coherence,n_scrubbed
28,USGS:05576100,,,,seg_bad,11.12,"LICK CREEK NEAR WOODSIDE, IL",263948,11.162,2773,4.322,3.891,0.9994,0.0343,0.012,25.01,27.23,0.7996,1.3075,0.07434394363199588,0
29,IWQIS:WQS0009,,,,"seg_bad, aseasonal",10.66,Otter Creek at Elgin,247749,4.381,995,6.579,3.094,0.999,0.0441,0.031,4.4,9.82,0.4719,1.415,-0.08398889825576376,0
30,USGS:03433500,,,,flatline_heavy,10.55,"HARPETH RIVER AT BELLEVUE, TN",48723,1.513,526,1.055,0.327,0.9937,0.1124,0.0,72.8,3.1,0.3571,0.1455,0.5550390194765334,0
31,USGS:06899900,,,,flatline_heavy,10.49,"Medicine Creek at Lucerne, MO",52018,5.996,1198,1.128,1.697,0.9814,0.193,0.221,51.99,8.73,0.5386,0.21,0.1486113332446074,0
32,USGS:06901500,,,,noisy,10.18,"Locust Creek near Linneus, MO",55429,5.993,1235,1.023,1.126,0.9725,0.2347,0.123,40.88,8.29,0.7308,0.1995,0.4314892904791723,0
33,IWQIS:WQS0114,,,,"scale_outlier, seg_bad, aseasonal",10.12,Bloody Run Creek Headwaters at Monona,413367,4.692,1595,17.662,5.182,0.9988,0.0481,0.094,1.06,7.18,0.8812,1.027,0.5880201619166727,0
34,USGS:03381495,,,,"flatline_heavy, aseasonal",10.08,"LITTLE WABASH RIVER AT MAIN ST AT CARMI, IL",141889,6.97,1533,1.406,0.95,0.9952,0.0979,0.005,54.94,8.14,0.5454,0.391,0.32901453216442283,0
35,USGS:06902000,,,,flatline_heavy,10.07,"Grand River near Sumner, MO",115686,9.124,1258,1.097,1.266,0.996,0.0893,0.01,54.04,11.5,0.5884,0.5525,0.2667797226894964,0
36,USGS:06818000,,,,flatline_heavy,9.79,"Missouri River at St. Joseph, MO",141717,4.668,1542,1.466,0.932,0.9979,0.0652,0.0,50.19,11.43,1.0206,0.549,0.26632803468417704,0
37,USGS:03276000,,,,flatline_heavy,9.7,"EAST FORK WHITEWATER RIVER AT BROOKVILLE, IN",36019,1.073,381,1.304,0.594,0.9952,0.0979,0.0,59.35,8.85,0.5466,0.425,0.17484383478137952,0
38,IWQIS:WQS0025,,,,seg_bad,9.67,Catfish Creek at Dubuque,676435,11.148,2484,2.86,0.96,0.99,0.1415,0.014,8.65,5.39,1.3109,0.7735,0.5037268087163357,0
39,USGS:07047950,,,,flatline_heavy,9.66,"LAnguille River at Palestine, AR",66678,2.126,725,0.304,0.121,0.9957,0.0927,0.0,54.26,9.73,0.4174,0.4675,-0.08157528667078189,0
40,USGS:05554300,,,,seg_bad,9.47,"INDIAN CREEK NEAR FAIRBURY, IL",271931,14.239,2853,6.897,5.56,0.9999,0.0124,0.004,29.14,16.78,1.2132,0.806,0.3450831698400456,0
41,USGS:05579610,,,,seg_bad,9.42,"KICKAPOO CREEK AT 2100E ROAD NEAR BLOOMINGTON, IL",73511,3.239,769,9.729,7.134,0.9999,0.0143,0.015,27.02,20.83,0.5527,1.0005,0.1915798332807344,247
42,IWQIS:WQS0012,,,,seg_bad,9.29,Slough Creek at Orchard,595609,9.394,2147,8.144,3.454,0.9982,0.0592,0.01,1.24,7.58,0.996,1.092,0.13311747473873384,0
43,USGS:375350097262800,,,,aseasonal,9.23,"L ARKANSAS R UPSTREAM OF ASR FAC NR SEDGWICK, KS",179224,10.388,3506,1.108,0.834,0.9946,0.104,0.001,42.62,9.35,0.5502,0.4495,0.44853908299748035,0
44,USGS:07144100,,,,aseasonal,9.23,"L ARKANSAS R NR SEDGWICK, KS",262156,14.447,4907,1.001,0.894,0.9967,0.0811,0.001,40.74,9.69,0.8257,0.4655,0.37829481526012365,0
45,USGS:01668000,,,,flatline_heavy,9.21,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",89092,2.7,975,0.365,0.297,0.9999,0.0164,0.0,53.71,7.88,1.1589,0.3785,0.6748530444295049,3219
46,MPCA:43020001,,,,"extreme_noise, noisy",9.18,"Bridge Creek nr Houston, John Deere Dr",38538,4.824,1488,4.157,0.759,0.9325,0.3675,0.093,0.0,0.12,1.2885,0.0095,0.33668661471958866,2
47,USGS:06480000,,,,flatline_heavy,9.13,"BIG SIOUX RIVER NEAR BROOKINGS, SD",43831,2.333,478,1.267,0.693,0.999,0.0448,0.0,69.24,5.48,0.1537,0.2635,0.06473076860864983,0
48,USGS:01674500,,,,flatline_heavy,8.91,"MATTAPONI RIVER NEAR BEULAHVILLE, VA",103073,3.065,1085,0.27,0.081,0.9991,0.043,0.0,68.9,3.18,0.2775,0.153,0.41028800646774755,0
49,IWQIS:WQS0104,,,,seg_bad,8.81,Carnarvon Creek at Lake View,149317,5.048,640,14.74,8.147,0.9998,0.0212,0.043,2.15,7.82,0.2523,1.119,0.14501814132735358,0
50,IWQIS:WQS0081,,,,seg_bad,8.62,Boone River at Webster City,513233,14.233,2731,7.913,6.081,0.9998,0.0208,0.022,7.04,8.89,0.4543,1.2555,0.24601150744282785,0
51,USGS:03338780,,,,flatline_heavy,8.48,"NORTH FORK VERMILION RIVER NEAR BISMARCK, IL",188893,5.588,1996,4.983,3.967,0.9999,0.0125,0.001,54.19,10.59,0.5948,0.509,0.17846106500227332,0
52,USGS:03374100,,,,seg_bad,8.06,"WHITE RIVER AT HAZLETON, IN",383440,14.231,4298,1.455,0.811,0.9998,0.0223,0.0,7.74,24.66,0.6677,1.18,0.7821310205584175,0
53,USGS:01458500,,,,"noisy, aseasonal",7.92,Delaware River at Frenchtown NJ,35227,2.04,489,1.723,2.405,0.9725,0.2346,0.764,18.53,3.47,0.8708,0.1665,0.42420228923272985,0
54,USGS:06894650,,,,flatline_heavy,7.88,"Missouri River at Napoleon, MO",86803,2.996,930,1.789,1.013,0.9948,0.1017,0.0,47.87,6.86,0.6744,0.33,0.20468035808935112,0
55,USGS:02041650,,,,flatline_heavy,7.87,"APPOMATTOX RIVER AT MATOACA, VA",88622,2.958,1042,0.242,0.119,0.9991,0.0427,0.0,56.62,4.38,0.2175,0.2105,-0.08516027819126226,0
56,IWQIS:WQS0002,,,,seg_bad,7.85,Clear Creek at Coralville,850627,13.58,3362,4.805,3.009,0.9978,0.066,0.062,2.93,6.26,1.4268,0.854,0.2718539569603634,0
57,USGS:03381500,,,,flatline_heavy,7.78,"LITTLE WABASH RIVER AT CARMI, IL",94165,3.42,1012,1.168,0.777,0.9977,0.0676,0.001,54.25,6.83,0.4647,0.3285,0.10515369388641585,0
