dist_km,cluster,n_sensors,n_reaches,bbox,box_area_km2,km2_per_sensor,hull_area_km2,fill_ratio
350.0,36,1,3111,"[-98.253, 30.173, -95.982, 31.695]",36516,36516,19554,0.535
350.0,37,1,2388,"[-99.908, 28.341, -98.117, 29.983]",31602,31602,12282,0.389
350.0,38,1,3607,"[-78.512, 37.559, -76.292, 38.875]",28261,28261,7173,0.254
350.0,39,1,6,"[-122.66, 48.8, -122.597, 48.85]",26,26,7,0.269
350.0,40,1,986,"[-88.951, 44.983, -87.656, 45.744]",8523,8523,2663,0.312
350.0,41,1,183,"[-88.436, 44.355, -88.046, 44.605]",853,853,249,0.292
500.0,0,116,516714,"[-102.391, 29.124, -80.011, 46.663]",3812569,32867,1341204,0.352
500.0,1,15,30666,"[-78.901, 39.546, -74.605, 42.968]",136002,9067,76657,0.564
500.0,2,14,25239,"[-123.085, 38.066, -119.994, 41.116]",89422,6387,54579,0.61
500.0,3,12,16454,"[-79.672, 37.893, -76.31, 40.229]",75107,6259,39109,0.521
500.0,4,7,66314,"[-124.039, 43.374, -114.728, 49.0]",446373,63768,221879,0.497
500.0,5,6,384,"[-80.871, 27.75, -80.471, 28.846]",4753,792,1145,0.241
500.0,6,6,14718,"[-76.381, 39.244, -74.402, 42.452]",59105,9851,31813,0.538
500.0,7,5,5015,"[-78.262, 37.212, -76.398, 38.313]",19971,3994,6922,0.347
500.0,8,3,16650,"[-121.929, 36.385, -119.107, 38.748]",65069,21690,35555,0.546
500.0,9,3,24481,"[-101.117, 35.762, -95.625, 38.651]",155523,51841,64352,0.414
500.0,10,3,3168,"[-83.627, 42.087, -82.423, 43.677]",17255,5752,7498,0.435
500.0,11,3,16347,"[-80.509, 36.684, -76.165, 38.418]",73496,24499,29366,0.4
500.0,12,2,12441,"[-73.19, 41.275, -71.228, 44.935]",64542,32271,28866,0.447
500.0,13,2,648,"[-82.743, 28.163, -81.751, 29.098]",10017,5008,1928,0.192
500.0,14,2,6802,"[-83.875, 29.298, -82.087, 32.046]",52035,26018,21344,0.41
500.0,15,2,391,"[-84.016, 30.095, -83.504, 30.92]",4484,2242,1285,0.287
500.0,16,2,52,"[-85.384, 29.879, -85.218, 30.149]",479,239,75,0.157
500.0,17,2,6897,"[-85.308, 40.407, -83.39, 42.02]",28647,14324,16447,0.574
500.0,18,2,4082,"[-99.554, 28.434, -96.796, 30.083]",48825,24412,19922,0.408
500.0,19,2,782,"[-122.627, 48.589, -121.557, 48.98]",3395,1697,1519,0.447
500.0,20,2,5028,"[-89.669, 43.537, -87.875, 45.716]",34248,17124,16236,0.474
500.0,21,1,1072,"[-75.965, 38.245, -75.396, 38.978]",4011,4011,1843,0.459
500.0,22,1,5283,"[-82.396, 27.492, -80.549, 30.494]",59678,59678,20187,0.338
500.0,23,1,550,"[-82.007, 26.529, -81.086, 26.987]",4632,4632,1201,0.259
500.0,24,1,26,"[-82.63, 28.693, -82.586, 28.728]",16,16,6,0.375
500.0,25,1,14664,"[-93.36, 29.481, -90.724, 32.849]",93494,93494,38453,0.411
500.0,26,1,1304,"[-76.234, 38.558, -75.602, 39.168]",3692,3692,1653,0.448
500.0,27,1,597,"[-76.307, 38.962, -75.699, 39.342]",2204,2204,922,0.418
500.0,28,1,707,"[-77.15, 39.116, -76.438, 39.633]",3503,3503,1358,0.388
500.0,29,1,1373,"[-77.189, 38.287, -76.414, 39.338]",7812,7812,2315,0.296
500.0,30,1,4,"[-70.42, 41.649, -70.41, 41.674]",2,2,1,0.5
500.0,31,1,16696,"[-94.219, 35.585, -91.383, 37.329]",48971,48971,29642,0.605
500.0,32,1,1604,"[-74.608, 40.632, -74.05, 41.354]",3746,3746,2086,0.557
500.0,33,1,252,"[-74.455, 39.912, -74.126, 40.186]",848,848,339,0.4
500.0,34,1,23208,"[-86.075, 34.591, -82.295, 36.706]",79950,79950,44528,0.557
500.0,35,1,270,"[-80.672, 41.664, -80.29, 41.95]",1002,1002,370,0.369
500.0,36,1,6171,"[-98.538, 29.624, -95.887, 32.463]",79355,79355,39495,0.498
500.0,37,1,4567,"[-99.908, 27.748, -97.537, 29.983]",57127,57127,25059,0.439
500.0,38,1,3607,"[-78.512, 37.559, -76.292, 38.875]",28261,28261,7173,0.254
500.0,39,1,6,"[-122.66, 48.8, -122.597, 48.85]",26,26,7,0.269
500.0,40,1,986,"[-88.951, 44.983, -87.656, 45.744]",8523,8523,2663,0.312
500.0,41,1,183,"[-88.436, 44.355, -88.046, 44.605]",853,853,249,0.292
