publishes_under,comid,GenID,dist_m
SNR-050O,6013072,6013246,13.623805044748263
SNR-03NH,5092598,5092594,313.5642118125552
SNR-01NV,22865239,22865239,63.94444746342589
SNR-038U,7609749,7609531,53.20819182530545
SNR-04A5,21176300,21176144,69.9250974593412
SNR-0454,21177172,21177172,53.935225206230264
SNR-0408,21160795,21160795,58.385994867051465
SNR-0128,17956869,17956869,18.104873650826196
SNR-00SU,17948666,17946190,27.953215763247957
SNR-00SI,17938240,17938240,15.653350141540221
SNR-00UG,19180610,19180562,18.573324203708133
SNR-00NO,167203697,19138465,13.490962599308219
SNR-00K8,19268286,19268286,58.6083373043997
SNR-00HZ,19104913,19104913,27.884651602764304
SNR-00A6,19088319,19088319,431.4586968016777
SNR-0017,15182073,15182073,50.76160102480676
SNR-003G,18910424,18910426,3943.159809304201
SNR-01UF,14206300,14208326,1593.9311794905623
SNR-045Q,21177172,21177172,27.8854753601907
SNR-04KK,10163716,10164004,642.7927590082516
SNR-053J,8077678,8077974,624.8622674538658
SNR-07GS,13606720,13606720,627.8178705209632
SNR-07H6,13606720,13606720,11.699552301595471
SNR-07H4,13606720,13606720,14.806321384120878
SNR-07YQ,9513990,9513996,117.67465046908757
SNR-095Z,14779396,14779576,238.44468827737074
SNR-09AG,13433691,13433513,31.129802545260667
SNR-09AF,13433691,13433513,1.0380265127464894
SNR-09SD,5879589,5879589,561.6058049556718
SNR-09X0,6130319,6130157,60.15052774079323
SNR-09X8,5879521,5879521,214.40199031838355
SNR-0AGO,22473621,22473909,230.3623430997135
SNR-0BP9,21980005,21980027,1030.054234753905
SNR-0BRW,21979697,21979761,601.5263963956141
SNR-0DJN,9033221,9033189,163.79199848014116
SNR-0DJM,9033221,9033189,163.98265142326142
