Row,site_uid,decision,decided_by,note,criterion_version,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
21,USGS:01305500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",SWAN RIVER AT EAST PATCHOGUE NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,0.72,USGS
22,USGS:01306495,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",CONNETQUOT RIVER DISTRIBUTARY NEAR OAKDALE NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,20.96,USGS
23,USGS:01306499,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",CONNETQUOT RIVER NEAR NORTH GREAT RIVER NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,22.56,USGS
24,USGS:01306500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",CONNETQUOT RIVER NEAR OAKDALE NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,20.97,USGS
25,USGS:01308500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",CARLLS RIVER AT BABYLON NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,10.87,USGS
26,USGS:01309500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",MASSAPEQUA CREEK AT MASSAPEQUA NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,48.27,USGS
27,USGS:01309950,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",BELLMORE CREEK NEAR BELLMORE NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,33.33,USGS
28,USGS:01309990,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",BELLMORE CREEK TRIBUTARY AT BELLMORE NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,215.88,USGS
29,USGS:01310000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",BELLMORE CREEK AT BELLMORE NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,8.14,USGS
30,USGS:01311500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",VALLEY STREAM AT VALLEY STREAM NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,496.94,USGS
