site_uid,latitude,longitude,monitoring_location_name,monitoring_location_number,agency_code,site_type,state_code,state_name,county_name,hydrologic_unit_code,drainage_area,drainage_area_source,altitude,vertical_datum,iwqis_uid,iwqis_river,iwqis_town,iwqis_description,iwqis_colloc_uid,iwqis_colloc_site_uid,iwqis_link_uid,iwqis_status,iwqis_nickname
WQS0021,41.7217,-91.4263,,,IIHR,,19,Iowa,,,6.0,iwqis,,,WQS0021,Rapid Creek,Iowa City,Rapid Creek is a tributary of the Iowa River north of Iowa City. This site is located on a tributary of Rapid Creek and is part of a paired watershed study of stacked best management practices funded by the INRC. ,,,226760.0,discontinued,21RCIC1
WQS0023,41.7669,-90.535,,,IIHR,,19,Iowa,,,2336.0,iwqis,,,WQS0023,Wapsipinicon River,De Witt,The Wapsi River location is a crucial site for N load estimations associated with the Iowa Nutrient Reduction Strategy.,05422000,,426239.0,maintenance,23WRDW
WQS0024,42.3149,-93.1525,,,IIHR,,19,Iowa,,,224.0,iwqis,,,WQS0024,South Fork Iowa River,New Providence,"On left bank 15 ft downstream from bridge on R Avenue, 2.0 mi northeast of New Providence, and 4.0 mi upstream from confluence with the Iowa River. The South Fork Iowa River is a major tributary of the Iowa River in north-central Iowa, which drains an area of intense crop and livestock production. This site is co-located with an Agricultural Research Service (USDA-ARS) project area. Was previously operated by USGS as site 05451210.",05451210,,323529.0,maintenance,24SFINP
WQS0025,42.4674,-90.683,,,IIHR,,19,Iowa,,,41.0,iwqis,,,WQS0025,Catfish Creek,Dubuque,This site is one of two sites located on Catfish Creek related to a nutrient trading study funded by the INRC. The City of Dubuque is a partner of this site.,,,345307.0,maintenance,25CFCD1
WQS0026,42.4813,-90.6954,,,IIHR,,19,Iowa,,,13.0,iwqis,,,WQS0026,Catfish Creek,Dubuque,This site is one of two sites located on Catfish Creek related to a nutrient trading study funded by the INRC. The City of Dubuque is a partner of this site.,,,347633.0,discontinued,26CFCD2
WQS0027,42.2974,-92.0177,,,IIHR,,19,Iowa,,,41.0,iwqis,,,WQS0027,Lime Creek,Brandon,"Lime Creek is a tributary of the Cedar River in east-central Iowa. This site is owned and operated by Coe College, and is part of a long-term monitoring project in the Lime Creek watershed.",,,342038.0,discontinued,27LCB
WQS0028,42.0818,-93.9383,,,IIHR,,19,Iowa,,,56.0,iwqis,,,WQS0028,Des Moines River,Boone,This site is one of two sites located in the Des Moines River watershed in cooperation with the City of Boone Water Work to evaluate the river-groundwater interaction at/near the Water Works intake wells. This site is located upstream of the Saylorville Reservoir and may be used to help quantify loads associated with activities upstream of the reservoir.,,,378421.0,discontinued,28DMRB
WQS0032,41.6874,-94.3711,,,IIHR,,19,Iowa,,,440.0,iwqis,,,WQS0032,Middle Raccoon River,Panora,"On right bank 10 ft upstream from bridge on Soldier Trail, at southwestern edge of Panora, 1.5 mi upstream from Andy''s Branch, 1.6 mi downstream from Lake Panorama, 18.2 mi upstream from mouth, 66.1 mi upstream from mouth of Raccoon River, and 267.2 mi upstream from mouth of Des Moines River. Was previously operated by USGS as site 05483600.",05483600,,279587.0,maintenance,32
WQS0033,40.7269,-91.9606,,,IIHR,,19,Iowa,,,14038.0,iwqis,,,WQS0033,Des Moines River,Keosauqua,Des Moines River at Keosauqua. This is a state load estimate site.,05490500,,204187.0,maintenance,33DMRK
WQS0034,41.0099,-92.119,,,IIHR,,19,Iowa,,,248.0,iwqis,,,WQS0034,Cedar Creek,Batavia,Cedar Creek at Batavia. This is a WQI site.,,,114158.0,discontinued,34CCB
WQS0035,42.3846,-92.2545,,,IIHR,,19,Iowa,,,23.0,iwqis,,,WQS0035,Miller Creek,La Porte City,"Miller Creek near La Porte City, IA. This is a WQI site.",,,325170.0,discontinued,35
WQS0036,40.6407,-93.8078,,,IIHR,,19,Iowa,,,701.0,iwqis,,,WQS0036,Thompson River,Davis City,,06898000,,79118.0,discontinued,36TRDC
WQS0037,41.5119,-94.9359,,,IIHR,,19,Iowa,,,278.0,iwqis,,,WQS0037,East Nishnabotna River,Brayton,,,,246425.0,discontinued,37ENRB
WQS0038,42.0415,-93.654,,,IIHR,,19,Iowa,,,196.0,iwqis,,,WQS0038,Ioway Creek,Ames,This is a WQI site.,05470500,,292243.0,discontinued,38ICA
WQS0039,42.7246,-93.9472,,,IIHR,,19,Iowa,,,420.0,iwqis,,,WQS0039,Boone River,Goldfield,"This is a state load estimate site, co-located with USGS discharge gage 05480820.",05480820,,412870.0,discontinued,39BRG
WQS0040,41.6418,-95.7826,,,IIHR,,19,Iowa,,,850.0,iwqis,,,WQS0040,Boyer River,Logan,,06609500,,273761.0,maintenance,40
WQS0041,41.9651,-95.9733,,,IIHR,,19,Iowa,,,760.0,iwqis,,,WQS0041,Little Sioux River,Turin,"Little Sioux River near Turin. This is a state load estimate site, co-located with USGS discharge gage 06607500.",,,326674.0,discontinued,41LSRT
WQS0042,42.157,-95.8098,,,IIHR,,19,Iowa,,,669.0,iwqis,,,WQS0042,Maple River,Mapleton,This site is co-located with USGS discharge gage 06607200.,,,326618.0,discontinued,42MRM
WQS0043,42.5764,-96.3126,,,IIHR,,19,Iowa,,,886.0,iwqis,,,WQS0043,Floyd River,James,This site is co-located with USGS discharge gage 06600500.,06600500,,397675.0,maintenance,43FRJ
