site_uid,latitude,longitude,monitoring_location_name,monitoring_location_number,agency_code,site_type,state_code,state_name,county_name,hydrologic_unit_code,drainage_area,drainage_area_source,altitude,vertical_datum,iwqis_uid,iwqis_river,iwqis_town,iwqis_description,iwqis_colloc_uid,iwqis_colloc_site_uid,iwqis_link_uid,iwqis_status,iwqis_nickname
WQS0084,42.6494,-92.4666,,,IIHR,,19,Iowa,,,55872.0,iwqis,,,WQS0084,Cedar River,Janesville,,05458500,,,maintenance,84CRJ
WQS0091,43.4326,-91.5194,,,IIHR,,19,Iowa,,,48.0,iwqis,,,WQS0091,Waterloo Creek,Dorchester,,05388310,,,discontinued,91WCD
WQS0102,42.0796,-92.1136,,,IIHR,,19,Iowa,,,12.0,iwqis,,,WQS0102,Mud Creek,Benton County,,,,,discontinued,102MCBC2
WQS0103,42.1014,-92.0663,,,IIHR,,19,Iowa,,,,,,,WQS0103,Mud Creek,Benton County,,,,,discontinued,103MCBC3
WQS0104,42.2636,-95.0332,,,IIHR,,19,Iowa,,,11.0,iwqis,,,WQS0104,Carnarvon Creek,Lake View,,,,,maintenance,104CCSC
WQS0107,42.6288,-93.8448,,,IIHR,,19,Iowa,,,,,,,WQS0107,Eagle Creek Oxbow,Woolstock,,,,,discontinued,107ECO
WQS0108,42.9196,-94.0706,,,IIHR,,19,Iowa,,,,,,,WQS0108,Prairie Creek/Boone River Oxbow,Lu Verne,,,,,discontinued,Prairie Creek Oxbow
WQS0110,42.1573,-90.3396,,,IIHR,,19,Iowa,,,1859.0,iwqis,,,WQS0110,Maquoketa River,Green Island,,,,,discontinued,110MRGI
WQS0111,43.0406,-91.2059,,,IIHR,,19,Iowa,,,34.0,iwqis,,,WQS0111,Bloody Run Creek,Marquette,,05389400,,,maintenance,111BRCM
WQS0115,41.0178,-92.417,,,IIHR,,19,Iowa,,,,,,,WQS0115,Des Moines River,Ottumwa,Des Moines River Intake @ Ottumwa Water Works,,,,ok,115OWW
WQS0118,42.0845,-90.6327,,,IIHR,,19,Iowa,,,1553.0,iwqis,,,WQS0118,Maquoketa River,Maquoketa,,05418500,,,maintenance,118MRM
WQS0119,42.0835,-91.2713,,,IIHR,,19,Iowa,,,1575.0,iwqis,,,WQS0119,Wapsipinicon River,Anamosa,,05421740,,,ok,WQS 119WRA
WQS0120,41.346,-95.078,,,IIHR,,19,Iowa,,,436.0,iwqis,,,WQS0120,East Nishnabotna,Atlantic,,06809210,,,maintenance,WQS 120 ENRA
WQS0121,41.008,-95.2416,,,IIHR,,19,Iowa,,,894.0,iwqis,,,WQS0121,East Nishnabotna River,Red Oak,,06809500,,,maintenance,121ENRRO
WQS0122,43.4668,-92.2983,,,IIHR,,19,Iowa,,,181.0,iwqis,,,WQS0122,Upper Iowa River,Lime Springs,,05387320,,,maintenance,WQS 122UIRLS
WQS0123,43.407,-91.8975,,,IIHR,,19,Iowa,,,367.0,iwqis,,,WQS0123,Upper Iowa River,Bluffton,,05387440,,,maintenance,WQS123 UIRB
WQS0124,42.9828,-95.9996,,,IIHR,,19,Iowa,,,268.0,iwqis,,,WQS0124,Floyd River,Alton,,06600100,,,maintenance,WQS 124FRA
WQS0126,42.8365,-92.2568,,,IIHR,,19,Iowa,,,346.0,iwqis,,,WQS0126,Wapsipinicon River,Tripoli,,05420680,,,maintenance,WQS 126WRT
