uid,editor_uid,site_uid,method_uid,param_uid,enabled,begin_datetime,end_datetime
93105,dtrs,CTZ00272,nitrateapp,nitrate_con_int,t,2018-07-26 13:23:50-05,
93106,dtrs,CTZ00273,nitrateapp,nitrate_con_int,t,2018-07-26 20:20:57-05,
93107,dtrs,CTZ00274,nitrateapp,nitrate_con_int,t,2018-07-28 10:06:36-05,
93108,dtrs,CTZ00275,nitrateapp,nitrate_con_int,t,2018-07-28 10:23:21-05,
93109,dtrs,CTZ00276,nitrateapp,nitrate_con_int,t,2018-07-28 18:55:09-05,
93110,dtrs,CTZ00277,nitrateapp,nitrate_con_int,t,2018-07-29 15:46:03-05,
93111,dtrs,CTZ00278,nitrateapp,nitrate_con_int,t,2018-07-30 11:31:40-05,
93112,dtrs,CTZ00279,nitrateapp,nitrate_con_int,t,2018-07-30 11:49:13-05,
93113,dtrs,CTZ00280,nitrateapp,nitrate_con_int,t,2018-07-30 14:01:11-05,
93114,dtrs,CTZ00281,nitrateapp,nitrate_con_int,t,2018-07-30 14:12:07-05,
93115,dtrs,CTZ00282,nitrateapp,nitrate_con_int,t,2018-07-30 14:41:25-05,
93116,dtrs,CTZ00283,nitrateapp,nitrate_con_int,t,2018-07-30 14:47:47-05,
93117,dtrs,CTZ00284,nitrateapp,nitrate_con_int,t,2018-07-30 14:56:35-05,
93118,dtrs,CTZ00285,nitrateapp,nitrate_con_int,t,2018-07-30 15:06:24-05,
93119,dtrs,CTZ00286,nitrateapp,nitrate_con_int,t,2018-07-30 15:17:21-05,
93120,dtrs,CTZ00287,nitrateapp,nitrate_con_int,t,2018-07-30 15:22:52-05,
93121,dtrs,CTZ00288,nitrateapp,nitrate_con_int,t,2018-07-30 15:33:22-05,
93122,dtrs,CTZ00289,nitrateapp,nitrate_con_int,t,2018-07-30 15:52:49-05,
93346,iihr,WQS0106,dts12,turbi_min,t,,
93123,dtrs,CTZ00290,nitrateapp,nitrate_con_int,t,2018-07-30 15:57:08-05,
93124,dtrs,CTZ00291,nitrateapp,nitrate_con_int,t,2018-08-03 16:18:49-05,
93125,dtrs,CTZ00292,nitrateapp,nitrate_con_int,t,2018-08-03 16:25:23-05,
93126,dtrs,CTZ00293,nitrateapp,nitrate_con_int,t,2018-08-07 16:53:00-05,
93127,dtrs,CTZ00294,nitrateapp,nitrate_con_int,t,2018-08-07 16:59:42-05,
93128,dtrs,CTZ00295,nitrateapp,nitrate_con_int,t,2018-08-10 14:53:03-05,
93129,dtrs,CTZ00296,nitrateapp,nitrate_con_int,t,2018-08-10 15:07:03-05,
93130,dtrs,CTZ00297,nitrateapp,nitrate_con_int,t,2018-08-10 15:39:05-05,
93131,dtrs,CTZ00298,nitrateapp,nitrate_con_int,t,2018-08-10 15:45:35-05,
93132,dtrs,CTZ00299,nitrateapp,nitrate_con_int,t,2018-08-10 16:09:09-05,
93133,iihr,WQS0078,dts12,turbi_mean,t,,
93134,iihr,WQS0078,dts12,turbi_med,t,,
93135,iihr,WQS0078,dts12,turbi_bes,t,,
93136,iihr,WQS0078,dts12,turbi_min,t,,
93137,iihr,WQS0078,dts12,turbi_max,t,,
93138,iihr,WQS0078,dts12,temp_water,t,,
93139,iihr,WQS0078,dts12,turbi_var,t,,
93140,dtrs,CTZ00300,nitrateapp,nitrate_con_int,t,2018-07-30 14:36:08-05,
93141,dtrs,CTZ00301,nitrateapp,nitrate_con_int,t,2018-06-13 11:00:00-05,
93142,iihr,WQS9997,nitratax,nitrate_con,t,,
93143,iihr,WQS9997,nitratax,r_exc,t,,
93144,iihr,WQS9997,nitratax,m_exc,t,,
93145,iihr,WQS9996,nitratax,nitrate_con,t,,
93146,iihr,WQS9996,nitratax,r_exc,t,,
93147,iihr,WQS9996,nitratax,m_exc,t,,
93148,dtrs,CTZ00302,nitrateapp,nitrate_con_int,t,2018-08-26 12:45:27-05,
93149,dtrs,CTZ00303,nitrateapp,nitrate_con_int,t,2018-08-26 13:14:19-05,
92994,iihr,WQS0075,ds5x,spec_cond,t,,
92602,iihr,WQS0075,dts12,temp_water,t,,
92603,iihr,WQS0075,ds5x,temp_water,t,,
93150,iihr,WQS9996,dts12,turbi_mean,t,,
93151,iihr,WQS9996,dts12,turbi_var,t,,
93152,iihr,WQS9996,dts12,turbi_med,t,,
93153,iihr,WQS9996,dts12,turbi_bes,t,,
93154,iihr,WQS9996,dts12,turbi_min,t,,
93155,iihr,WQS9996,dts12,turbi_max,t,,
93156,iihr,WQS9996,dts12,temp_water,t,,
93157,iihr,WQS0079,dts12,turbi_mean,t,,
93158,iihr,WQS0079,dts12,turbi_var,t,,
93159,iihr,WQS0079,dts12,turbi_med,t,,
93160,iihr,WQS0079,dts12,turbi_bes,t,,
93161,iihr,WQS0079,dts12,turbi_min,t,,
93162,iihr,WQS0079,dts12,turbi_max,t,,
93163,iihr,WQS0079,dts12,temp_water,t,,
93164,usgs,05464420,usgs.00095,spec_cond,t,,
93165,usgs,05464420,usgs.00300,diss_oxy_con,t,,
93166,usgs,05464420,usgs.63680,turbi_mean,t,,
93167,dtrs,CTZ00304,nitrateapp,nitrate_con_int,t,2018-09-28 11:27:09-05,
93168,dtrs,CTZ00305,nitrateapp,nitrate_con_int,t,2018-10-06 11:44:46-05,
93169,dtrs,CTZ00306,nitrateapp,nitrate_con_int,t,2018-10-06 12:12:54-05,
93170,iihr,WQS0059,ds5x,chloro_v,t,,
93171,iihr,WQS0059,ds5x,chloro_con,t,,
93172,iihr,WQS0087,dts12,turbi_var,t,,
93173,iihr,WQS0087,dts12,temp_water,t,,
93174,iihr,WQS0087,dts12,turbi_mean,t,,
93175,iihr,WQS0087,dts12,turbi_med,t,,
93177,iihr,WQS0087,dts12,turbi_min,t,,
93178,iihr,WQS0087,dts12,turbi_max,t,,
