features,recipe_REG2
rest_of_state_nitrate_lag1,0.14722262131420713
lat,0.12476580500497703
Nonag_b0,0.11327283513133288
Alfalfa_b0,0.05502635458950254
roll_n_avg_except_this7d,0.0514551150934065
Soybeans_b0,0.051026399427071226
Corn_b0,0.049469454404403014
Other_b0,0.035676931851133124
Small_Grains_b0,0.026460391874635912
mean_dist_to_sensor,0.02518736124313823
lon,0.02005288744403414
fuel_moisture_1000h_b1,0.01981526692750336
Hay_Pasture_b0,0.01835507884177754
fuel_moisture_1000h_b0,0.016519579519597323
doy_sin,0.01624835652757554
max_dist_to_sensor,0.012932524326710423
doy_cos,0.011214288783848194
Hay_Pasture_b1,0.007584675220603682
log_basin_area,0.0073641291126402
total_kg_N_b1,0.007058510843404524
Alfalfa_b1,0.006732705373839595
Fallow_b1,0.006155231907446592
Fallow_b0,0.0023384491206814096
Soybeans_b1,0.002141537832211453
Small_Grains_b1,0.0014305403935814455
Other_b1,0.0005946975173350521
surplus_kgha_b1,0.0005887855306766765
Corn_b1,0.0004505056190678136
surplus_kgha_b0,0.00043465992092270864
min_temp_b1,0.0001710044758109319
max_temp_b0,0.00014954446704428022
solar_rad_b0,0.0001398849159032034
max_rel_humidity_b1,0.00013803018942321277
min_rel_humidity_b1,0.00010839919281065316
precip_in_1d_b1,6.527869966555413e-05
evapotranspiration_b1,5.95002929699362e-05
max_temp_b1,5.553862115463382e-05
min_rel_humidity_b0,3.5287170448663474e-05
max_rel_humidity_b0,3.329651166285252e-05
precip_in_1d_b0,1.5112079160326528e-05
rest_of_state_nitrate_lag2,1.1986883298784491e-05
total_kg_N_b0,1.0156570520103502e-05
vpd_b1,-1.0419334045268512e-05
vpd_b0,-1.0843310328381157e-05
rest_of_state_nitrate_lag3,-0.00011433592193005101
evapotranspiration_b0,-0.00020378079282334485
min_temp_b0,-0.0002605789523406843
solar_rad_b1,-0.000308108230031805
Nonag_b1,-0.0019636309368713345
rest_of_state_nitrate_lag5,-0.002781279360543762
