features,recipe_CLF2
rest_of_state_nitrate_lag1,0.06082704202585022
lon,0.020174424430084444
lat,0.018524352746636812
doy_sin,0.01760806869376108
fuel_moisture_1000h_b1,0.01720407591561924
Nonag_b0,0.013872639901995365
doy_cos,0.007396589268092053
max_dist_to_sensor,0.006012266131137008
mean_dist_to_sensor,0.005551520752016668
Corn_b1,0.004860328944370181
rest_of_state_nitrate_lag2,0.004786481099391971
Fallow_b1,0.0032950451432095344
log_basin_area,0.0032842477263539576
Other_b0,0.001289492922591231
Fallow_b0,0.0012417949267261807
rest_of_state_nitrate_lag3,0.0011429172881498762
rest_of_state_nitrate_lag5,0.0010384369531135373
Other_b1,0.0010163690757159123
fuel_moisture_1000h_b0,0.0009647808186809126
total_kg_N_b1,0.0007072416396420467
Hay_Pasture_b1,0.0006730441399969897
Small_Grains_b1,0.0005821117134201881
Hay_Pasture_b0,0.00029976617187889233
solar_rad_b1,0.0001868141748764751
min_temp_b1,0.0001827002414821832
Alfalfa_b0,0.00010985732022076533
precip_in_1d_b1,7.830303205982326e-05
min_rel_humidity_b0,4.451635340358972e-05
max_rel_humidity_b1,3.92690312778754e-05
precip_in_1d_b0,2.8843930006683394e-05
max_rel_humidity_b0,2.425323768173282e-05
vpd_b0,1.7174759675104847e-05
min_rel_humidity_b1,1.713289453020739e-05
min_temp_b0,5.833700946311659e-06
vpd_b1,4.676088517334698e-06
solar_rad_b0,3.106911633228289e-06
max_temp_b1,-1.1303021282058626e-05
evapotranspiration_b1,-2.2969850815273133e-05
surplus_kgha_b1,-2.510509430424075e-05
evapotranspiration_b0,-7.717416019957567e-05
max_temp_b0,-0.00013693481088643543
Small_Grains_b0,-0.00033041588467880073
Soybeans_b1,-0.0005185241702239374
total_kg_N_b0,-0.000561737354941907
surplus_kgha_b0,-0.0010227447729295447
Corn_b0,-0.001441679259380595
Nonag_b1,-0.001591493897333738
Alfalfa_b1,-0.002997177509027194
Soybeans_b0,-0.004481093961552066
